"","Date","Adj.Close","Volume","company"
"1","2013-12-23",73.287506,125326600,"AAPL"
"2","2013-12-24",72.976387,41888700,"AAPL"
"3","2013-12-26",72.491737,51002000,"AAPL"
"4","2013-12-27",72.001923,56471100,"AAPL"
"5","2013-12-30",71.285904,63407400,"AAPL"
"6","2013-12-31",72.121513,55771100,"AAPL"
"7","2014-01-02",71.107201,58671200,"AAPL"
"8","2014-01-03",69.545288,98116900,"AAPL"
"9","2014-01-06",69.924515,103152700,"AAPL"
"10","2014-01-07",69.424438,79302300,"AAPL"
"11","2014-01-08",69.864105,64632400,"AAPL"
"12","2014-01-09",68.971939,69787200,"AAPL"
"13","2014-01-10",68.511696,76244000,"AAPL"
"14","2014-01-13",68.870354,94623200,"AAPL"
"15","2014-01-14",70.240776,83140400,"AAPL"
"16","2014-01-15",71.651016,97909700,"AAPL"
"17","2014-01-16",71.25119,57319500,"AAPL"
"18","2014-01-17",69.505417,106684900,"AAPL"
"19","2014-01-21",70.585274,82131700,"AAPL"
"20","2014-01-22",70.898949,94996300,"AAPL"
"21","2014-01-23",71.499313,100809800,"AAPL"
"22","2014-01-24",70.199638,107338700,"AAPL"
"23","2014-01-27",70.769104,138719700,"AAPL"
"24","2014-01-28",65.112747,266380800,"AAPL"
"25","2014-01-29",64.373535,125702500,"AAPL"
"26","2014-01-30",64.248833,169625400,"AAPL"
"27","2014-01-31",64.354248,116199300,"AAPL"
"28","2014-02-03",64.473801,100366000,"AAPL"
"29","2014-02-04",65.407135,94170300,"AAPL"
"30","2014-02-05",65.89563,82086200,"AAPL"
"31","2014-02-06",66.279694,64441300,"AAPL"
"32","2014-02-07",67.206963,92570100,"AAPL"
"33","2014-02-10",68.41095,86389800,"AAPL"
"34","2014-02-11",69.312332,70564200,"AAPL"
"35","2014-02-12",69.307167,77025200,"AAPL"
"36","2014-02-13",70.407707,76849500,"AAPL"
"37","2014-02-14",70.35083,68231100,"AAPL"
"38","2014-02-18",70.609474,65062900,"AAPL"
"39","2014-02-19",69.494705,78442000,"AAPL"
"40","2014-02-20",68.690308,76464500,"AAPL"
"41","2014-02-21",67.927292,69696200,"AAPL"
"42","2014-02-24",68.224747,72227400,"AAPL"
"43","2014-02-25",67.51474,57988000,"AAPL"
"44","2014-02-26",66.905632,69054300,"AAPL"
"45","2014-02-27",68.240265,75470500,"AAPL"
"46","2014-02-28",68.055313,92992200,"AAPL"
"47","2014-03-03",68.2519,59695300,"AAPL"
"48","2014-03-04",68.701942,64785000,"AAPL"
"49","2014-03-05",68.846786,50015700,"AAPL"
"50","2014-03-06",68.638573,46372200,"AAPL"
"51","2014-03-07",68.59848,55182400,"AAPL"
"52","2014-03-10",68.660553,44646000,"AAPL"
"53","2014-03-11",69.32914,69806100,"AAPL"
"54","2014-03-12",69.3964,49831600,"AAPL"
"55","2014-03-13",68.625633,64435700,"AAPL"
"56","2014-03-14",67.854874,59299800,"AAPL"
"57","2014-03-17",68.120003,49886200,"AAPL"
"58","2014-03-18",68.722649,52411800,"AAPL"
"59","2014-03-19",68.704536,56189000,"AAPL"
"60","2014-03-20",68.373459,52099600,"AAPL"
"61","2014-03-21",68.912712,93511600,"AAPL"
"62","2014-03-24",69.730057,88925200,"AAPL"
"63","2014-03-25",70.480148,70573300,"AAPL"
"64","2014-03-26",69.806358,74942000,"AAPL"
"65","2014-03-27",69.506332,55507900,"AAPL"
"66","2014-03-28",69.428749,50141000,"AAPL"
"67","2014-03-31",69.413216,42167300,"AAPL"
"68","2014-04-01",70.048203,50190000,"AAPL"
"69","2014-04-02",70.164581,45105200,"AAPL"
"70","2014-04-03",69.678329,40586000,"AAPL"
"71","2014-04-04",68.776962,68812800,"AAPL"
"72","2014-04-07",67.697105,72462600,"AAPL"
"73","2014-04-08",67.693222,60972100,"AAPL"
"74","2014-04-09",68.582962,51542400,"AAPL"
"75","2014-04-10",67.698395,59913000,"AAPL"
"76","2014-04-11",67.197906,67929400,"AAPL"
"77","2014-04-14",67.465599,51418500,"AAPL"
"78","2014-04-15",66.98452,66622500,"AAPL"
"79","2014-04-16",67.1203,53691400,"AAPL"
"80","2014-04-17",67.887184,71083600,"AAPL"
"81","2014-04-21",68.692894,45637200,"AAPL"
"82","2014-04-22",68.761436,50640800,"AAPL"
"83","2014-04-23",67.862625,98735000,"AAPL"
"84","2014-04-24",73.426125,189977900,"AAPL"
"85","2014-04-25",73.965424,97568800,"AAPL"
"86","2014-04-28",76.829926,167371400,"AAPL"
"87","2014-04-29",76.602325,84344400,"AAPL"
"88","2014-04-30",76.312637,114160200,"AAPL"
"89","2014-05-01",76.492416,61012000,"AAPL"
"90","2014-05-02",76.634659,47878600,"AAPL"
"91","2014-05-05",77.718399,71766800,"AAPL"
"92","2014-05-06",76.871338,93641100,"AAPL"
"93","2014-05-07",76.602325,70716100,"AAPL"
"94","2014-05-08",76.465782,57574300,"AAPL"
"95","2014-05-09",76.147163,72899400,"AAPL"
"96","2014-05-12",77.095222,53302200,"AAPL"
"97","2014-05-13",77.216141,39934300,"AAPL"
"98","2014-05-14",77.230438,41601000,"AAPL"
"99","2014-05-15",76.573708,57711500,"AAPL"
