年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,127",53,13.2,10.05,13.15,12,2.85,27.7,0.84,0.64,0,0.64,6.33,4.82,5.31,75.7,0,75.7
2018,"1,127",47,11.65,9.48,10.3,10.6,0.63,6.5,0.82,0.5,0.2,0.7,7.38,6.01,6.57,61,24.4,85.4
2017,"1,105",44,9.77,8.87,9.67,9.34,0.59,6.5,0.78,0.34,0.35,0.69,7.82,7.1,7.43,44.1,44.9,89
2016,"1,068",47,10.7,8.01,9.08,9.35,-0.29,-3.1,1.07,0.43,0.5,0.93,11.6,8.71,9.97,40.4,46.7,87.1
2015,"1,017",47,14.35,9.19,9.37,12.1,-3.63,-27.9,1.45,0.5,0.74,1.24,13.4,8.61,10.2,34.5,50.8,85.2
2014,947,47,15.1,12.4,13,13.7,-1.85,-12.5,1.32,0.34,0.81,1.14,9.22,7.57,8.35,25.4,61.2,86.6
2013,821,47,15.4,12.4,14.85,14.1,2.4,19.3,1.26,0.33,0.8,1.13,9.11,7.34,7.99,26.5,63.2,89.7
2012,754,50,13.25,8.56,12.45,11.1,3.23,35,0.42,0.14,0.32,0.45,5.27,3.41,4.07,32.3,75.2,107
2011,731,34,14.4,8,9.22,11.6,-4.23,-31.4,0.73,0.15,0.43,0.58,7.25,4.03,5,20.6,58.9,79.5
2010,701,34,13.55,9.24,13.45,11.1,0.55,4.3,0.13,0.12,0,0.12,1.25,0.85,1.04,88.9,0,88.9
2009,700,31,13.9,5.31,12.9,9.97,5.75,80.4,-0.53,0,0,0,0,0,0,0,0,0
2008,699,25,15.6,5.24,7.15,11.2,-5,-41.2,0.36,0.13,0,0.13,2.42,0.81,1.13,35.2,0,35.2
2007,710,34,18.65,11.3,12.15,15.2,-5.3,-30.4,0.39,0.3,0,0.3,2.67,1.62,1.99,77.4,0,77.4
2006,710,34,18,14.25,17.45,16.3,1.6,10.1,0.82,0.71,0,0.71,4.98,3.94,4.36,86.6,0,86.6
2005,723,50,19.7,13,15.85,16.5,-2.85,-15.2,1.24,0.88,0,0.88,6.77,4.47,5.34,71,0,71
2004,399,48,21.5,15.2,18.7,17.8,1.5,8.7,1.2,0.5,0.46,0.96,6.31,4.46,5.38,41.6,38.3,79.9
2003,375,52,20.2,10.6,17.2,14.4,2.65,18.2,0.45,0.65,0,0.65,6.13,3.22,4.51,144,0,144
2002,375,57,18.5,13.25,14.55,14.7,-0.05,-0.3,-,0,0.61,0.61,4.6,3.29,4.15,-,-,-
2001,-,-,19.8,11.9,14.6,15.1,-0.6,-3.9,-,-,-,-,-,-,-,-,-,-
2000,-,-,27,11.2,15.2,18.1,-3.3,-17.8,-,-,-,-,-,-,-,-,-,-
1999,-,-,24.8,10.19,18.5,18.3,6.8,58.1,-,-,-,-,-,-,-,-,-,-
1998,-,-,19.39,11.6,11.7,14.7,-5.8,-33.1,-,-,-,-,-,-,-,-,-,-
