年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,74.3,45,243,196.5,233,220,31.5,15.6,5.7,15,0,15,7.63,6.17,6.83,263,0,263
2018,74.3,38,284,195.5,201.5,258,-78,-27.9,20.93,15,0,15,7.67,5.28,5.82,71.7,0,71.7
2017,74.3,38,308,241,279.5,274,14.5,5.5,25.85,17,0,17,7.05,5.52,6.21,65.8,0,65.8
2016,74.3,45,291.5,252,265,274,-7,-2.6,23.02,15,0,15,5.95,5.15,5.47,65.2,0,65.2
2015,74.3,40,359,243.5,272,300,-74.5,-21.5,26.21,17,0,17,6.98,4.74,5.67,64.9,0,64.9
2014,74.3,43,358,267,346.5,310,78.5,29.3,28.66,19.5,0,19.5,7.3,5.45,6.28,68,0,68
2013,74.3,43,382,204,268,289,-58.5,-17.9,29.79,19.17,0,19.17,9.4,5.02,6.64,64.4,0,64.4
2012,75.3,40,342,212,326.5,287,111,51.5,21.99,14.5,0,14.5,6.84,4.24,5.05,65.9,0,65.9
2011,75.3,45,311,178,215.5,247,-61.5,-22.2,7.72,14,2.2,16.2,9.1,5.21,6.56,181,28.5,210
2010,62.7,45,289.5,49,277,168,215.2,348,2.94,2.1,0,2.1,4.29,0.73,1.25,71.4,0,71.4
2009,425,43,66.5,29.5,61.8,47.7,25,67.9,3.88,2,0.02,2.02,6.85,3.04,4.24,51.5,0.52,52.1
2008,425,45,101,32.05,36.8,73.6,-60.6,-62.2,7.52,2.49,1,3.49,10.9,3.45,4.74,33.1,13.3,46.4
2007,373,38,116,75.4,97.4,90.9,8.2,9.2,5.65,1.49,0.5,1.99,2.64,1.72,2.19,26.4,8.8,35.2
2006,341,34,110,67.5,89.2,84,-11.8,-11.7,6.03,1,1,2,2.96,1.82,2.38,16.6,16.6,33.2
2005,292,43,105,79,101,88.7,16.5,19.5,5.91,1.5,1,2.5,3.16,2.38,2.82,25.4,16.9,42.3
2004,255,47,90.5,65,84.5,77.6,9.5,12.7,5.07,1.5,1,2.5,3.85,2.76,3.22,29.6,19.7,49.3
2003,228,49,119,58.5,75,79.4,14,23,5.02,1.25,1.25,2.5,4.27,2.1,3.15,24.9,24.9,49.8
2002,200,51,187,58.5,61,111,-92,-60.1,8.19,4,0,4,6.84,2.14,3.61,48.8,0,48.8
2001,198,70,181,94.5,153,144,56,57.7,9.98,2.5,2.5,5,5.29,2.76,3.47,25.1,25.1,50.1
2000,157,-,426,94.5,97,255,-234,-70.7,12.47,2.4,3.6,6,6.35,1.41,2.35,19.2,28.9,48.1
1999,115,-,402,248,331,323,30,10,14.26,3,4,7,2.82,1.74,2.16,21,28.1,49.1
1998,81.4,-,780,208,301,439,-216,-41.8,22.4,0,15,15,7.21,1.92,3.41,0,67,67
1997,32.3,-,890,275,517,498,228,78.9,31.97,0,15,15,5.45,1.69,3.01,0,46.9,46.9
1996,12,-,338,115.5,289,243,173.5,150,32.51,5.5,9.5,15,13,4.44,6.16,16.9,29.2,46.1
1995,6,-,-,-,-,-,-,-,16.79,3,3.2,6.2,-,-,-,17.9,19.1,36.9
1994,4.5,-,-,-,-,-,-,-,-,1,4.6,5.6,-,-,-,-,-,-
1993,-,-,-,-,-,-,-,-,-,0,7.29,7.29,-,-,-,-,-,-
1992,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
