年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,42.8,64,389.5,203,383,296,64,20.1,80.3,44.83,0,44.83,22.1,11.5,15.2,55.8,0,55.8
2018,42.7,81,1310,292,319,586,-34,-9.6,15.64,14.86,1.98,16.85,5.77,1.29,2.88,95,12.7,108
2017,35,62,355,58.5,353,155,294.4,502,6.83,3,0,3,5.13,0.85,1.94,43.9,0,43.9
2016,51.6,57,70.8,50.4,58.6,57.3,5.4,10.2,5.48,2,0,2,3.97,2.82,3.49,36.5,0,36.5
2015,65.2,53,67.3,41.7,53.2,53.9,2.2,4.3,2.3,4,0,4,9.59,5.94,7.42,174,0,174
2014,66.8,51,51.7,10.75,51,24.9,40.25,374,0.75,0.1,0,0.1,0.95,0.2,0.41,13.6,0,13.6
2013,154,49,10.75,8.65,10.75,9.84,1.53,16.6,0.48,0,0,0,0,0,0,0,0,0
2012,221,51,10.65,7.33,9.22,8.81,1.38,17.6,0.76,0,0,0,0,0,0,0,0,0
2011,221,51,15.9,7.26,7.84,12,-6.51,-45.4,1.89,0.1,0,0.1,1.38,0.63,0.83,5.29,0,5.29
2010,220,55,16.1,9.85,14.35,13.2,2.65,22.6,0.31,0.15,0,0.15,1.52,0.93,1.13,48.2,0,48.2
2009,219,47,11.95,3.72,11.7,7.55,7.56,183,0.25,0.1,0,0.1,2.69,0.84,1.32,40,0,40
2008,219,45,11.55,3.01,4.14,8.32,-7.26,-63.7,0.9,0.31,0,0.31,10.4,2.71,3.77,34.8,0,34.8
2007,244,55,16.5,9.95,11.4,13.5,-3.8,-25,0.82,0.5,0,0.5,5.01,3.02,3.69,60.8,0,60.8
2006,242,45,15.65,9.99,15.2,12.4,1.2,8.6,0.13,0,0,0,0,0,0,0,0,0
2005,241,40,14.8,8.59,14,11.4,2.6,22.8,-4.51,0,0,0,0,0,0,0,0,0
2004,227,34,24,10.4,11.4,15.2,-3.7,-24.5,-0.35,0,0,0,0,0,0,0,0,0
2003,225,38,18.8,6.35,15.1,11.7,6.1,67.8,-2.05,0,0,0,0,0,0,0,0,0
2002,225,34,34,7.8,9,18.2,-16.8,-65.1,1.75,0,0.8,0.8,10.3,2.35,4.39,0,45.7,45.7
2001,205,47,53,16.2,25.8,32.2,-0.4,-1.5,3.31,0,3,3,18.5,5.66,9.31,0,90.6,90.6
2000,138,51,62.5,21,26.2,40.1,-10.9,-29.4,1.55,0,1.5,1.5,7.14,2.4,3.74,0,96.8,96.8
1999,118,47,42.9,17.4,37.1,31,-4.5,-10.8,1.49,0.5,1.1,1.6,9.2,3.73,5.16,33.6,73.8,107
1998,106,51,100,38.5,41.6,61.6,-32.4,-43.8,3.34,0,4,4,10.4,4,6.5,0,120,120
1997,67.2,68,152,52.5,74,93,20,37,2.47,0,4,4,7.62,2.63,4.3,0,162,162
1996,38,66,61.5,36,54,48.2,3,5.9,4.16,0,4,4,11.1,6.5,8.3,0,96.2,96.2
1995,27,83,122,44.8,51,75.4,-51,-50,3.16,0,5,5,11.2,4.1,6.63,0,158,158
1994,12.9,-,118,69,102,94,13,14.6,2.52,0,3.6,3.6,5.22,3.05,3.83,0,143,143
1993,6.52,-,89,51.5,89,63.6,37.5,72.8,2.05,0,2.5,2.5,4.85,2.81,3.93,0,122,122
1992,4.01,-,-,-,-,-,-,-,3.06,0,3,3,-,-,-,0,98,98
1991,4.01,-,-,-,-,-,-,-,-,0,2.8,2.8,-,-,-,-,-,-
1990,-,-,-,-,-,-,-,-,-,0,3.74,3.74,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,0,10.8,10.8,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,0,3.25,3.25,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
