年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,999,50,24,17.1,22.9,20.2,5.7,33.1,1.29,0.64,0.2,0.84,4.91,3.5,4.16,49.6,15.5,65.1
2018,979,47,19.2,16.35,17.2,17.6,0.65,3.9,1.28,0.45,0.4,0.85,5.2,4.43,4.84,35.2,31.2,66.4
2017,941,47,18.8,16.1,16.55,17.2,-0.6,-3.5,1.35,0.42,0.5,0.92,5.71,4.89,5.36,31.1,37,68.1
2016,896,47,17.45,14.9,17.15,16.4,1.45,9.2,1.38,0.35,0.6,0.95,6.38,5.44,5.79,25.4,43.5,68.8
2015,846,47,19.3,13.5,15.7,17.3,-2.45,-13.5,1.38,0.2,0.7,0.9,6.67,4.66,5.22,14.5,50.7,65.2
2014,790,47,20,17,18.15,18.3,-0.2,-1.1,1.14,0.6,0.2,0.8,4.71,4,4.38,52.6,17.5,70.2
2013,775,44,18.7,15.5,18.35,17.1,2.4,15,1.17,0.1,0.7,0.8,5.16,4.28,4.68,8.55,59.8,68.4
2012,724,44,18.75,14.4,15.95,16,-0.5,-3,1.34,0.2,0.7,0.9,6.25,4.8,5.61,14.9,52.2,67.2
2011,677,47,26.5,15,16.45,21.6,-9.45,-36.5,1.26,0.28,0.9,1.18,7.87,4.45,5.47,22.2,71.4,93.7
2010,621,44,26.45,12.3,25.9,17.1,10.65,69.8,0.5,0.3,0,0.3,2.44,1.13,1.75,60,0,60
2009,621,38,16.7,9.46,15.25,13.7,2.45,19.1,0.78,0.6,0,0.6,6.34,3.59,4.39,76.9,0,76.9
2008,621,38,26.7,10.35,12.8,18.2,-4.95,-27.9,1.63,0.9,0,0.9,8.7,3.37,4.94,55.2,0,55.2
2007,481,47,24,16.25,17.75,20.5,-5,-22,2.18,1,0,1,6.15,4.17,4.88,45.9,0,45.9
2006,481,50,24.2,15.75,22.75,20.3,6.35,38.7,0,0,0,0,0,0,0,0,0,0
2005,481,25,22.4,14.65,16.4,17.9,-5.6,-25.5,0.18,0.3,0,0.3,2.05,1.34,1.67,167,0,167
2004,481,-,25.1,16.2,22,19.6,5.7,35,0.72,0,0,0,0,0,0,0,0,0
2003,481,-,19.7,13.3,16.3,15.9,-0.3,-1.8,-7.23,0,0,0,0,0,0,0,0,0
2002,346,-,21.8,11.2,16.6,15.4,2.2,15.3,0.47,0.2,0.2,0.4,3.57,1.83,2.61,42.6,42.6,85.1
2001,339,-,23.1,11.2,14.4,15.4,0.25,1.8,0.68,0.3,0.3,0.6,5.36,2.6,3.9,44.1,44.1,88.2
2000,328,-,44.1,12.5,14.15,24.8,-16.95,-54.5,1.43,1,1,2,16,4.54,8.08,69.9,69.9,140
1999,295,-,54.5,30.7,31.1,41.9,-10.6,-25.4,2.16,1,0.35,1.35,4.4,2.48,3.22,46.3,16.2,62.5
1998,284,-,106,41.1,41.7,70.3,-48.8,-53.9,2.16,1,0,1,2.43,0.94,1.42,46.3,0,46.3
1997,247,-,195,85,90.5,125,-64.5,-41.6,2.89,1,5,6,7.06,3.08,4.81,34.6,173,208
1996,164,-,163,93,155,140,56,56.6,2.54,1,0,1,1.08,0.61,0.71,39.3,0,39.3
1995,164,-,196,84.5,99,118,-97,-49.5,4.03,1.2,3,4.2,4.97,2.14,3.56,29.8,74.5,104
1994,126,-,226,145,196,178,8,4.3,3.94,0,2.5,2.5,1.72,1.11,1.4,0,63.4,63.4
1993,101,-,188,76,188,124,106,129,2.38,0,0,0,0,0,0,0,0,0
1992,101,-,246,73,82,122,-123,-60,6.09,1.5,5.5,7,9.59,2.85,5.72,24.6,90.3,115
1991,65.2,-,333,172,205,229,-67,-24.6,9.71,1.5,4.5,6,3.49,1.8,2.62,15.5,46.4,61.8
1990,45,-,-,-,-,-,-,-,-,1.7,4.5,6.2,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,2.8,5,7.8,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,1.8,0,1.8,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,1.9,0,1.9,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,1.5,0,1.5,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,3,0,3,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
