年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,386,38,64.5,51.2,64.2,58,11.5,21.8,3.92,3.55,0,3.55,6.93,5.5,6.12,90.6,0,90.6
2018,386,38,65.2,47,52.7,54.3,-9.2,-14.9,3.73,3.4,0,3.4,7.23,5.21,6.26,91.2,0,91.2
2017,386,38,80,59.2,61.9,67.2,1.6,2.7,3.93,3.5,0,3.5,5.91,4.38,5.21,89.1,0,89.1
2016,386,40,69,47.35,60.3,58.7,7.3,13.8,4.62,3.8,0,3.8,8.03,5.51,6.47,82.3,0,82.3
2015,386,36,82.5,50.5,53,67,-26.2,-33.1,4.9,4,0,4,7.92,4.85,5.97,81.6,0,81.6
2014,386,40,91,67.6,79.2,79.3,9.7,14,4.84,3.8,0,3.8,5.62,4.18,4.79,78.5,0,78.5
2013,386,40,71,56.4,69.5,64.9,1.2,1.8,6.01,4,0,4,7.09,5.63,6.16,66.6,0,66.6
2012,385,40,86.4,62.1,68.3,73.6,4.6,7.2,6.02,4,0,4,6.44,4.63,5.43,66.4,0,66.4
2011,384,43,73,48.1,63.7,60.1,2.5,4.1,4.89,3.6,0,3.6,7.48,4.93,5.99,73.6,0,73.6
2010,383,40,72.3,45.4,61.2,58.5,-8.4,-12.1,6.09,3.68,0,3.68,8.11,5.1,6.3,60.5,0,60.5
2009,378,45,75.3,29.55,69.6,54.8,35,101,5.58,3.5,0.1,3.6,12.2,4.78,6.56,62.7,1.79,64.5
2008,365,45,53.1,29.35,34.6,42.5,-11.45,-24.9,5.33,3.5,0.3,3.8,12.9,7.16,8.93,65.7,5.63,71.3
2007,348,40,59.9,42.5,46.05,51.8,-13.05,-22.1,3.86,2.5,0.2,2.7,6.35,4.51,5.21,64.8,5.18,69.9
2006,336,36,61.9,43.1,59.1,50.9,13,28.2,3.37,2.49,0.2,2.68,6.23,4.34,5.27,73.8,5.9,79.7
2005,324,40,64.1,44,46.1,54.1,-10.9,-19.1,3.86,2.5,0.5,3,6.82,4.68,5.55,64.8,13,77.7
2004,311,40,90,52,57,67.1,-26.5,-31.7,4.82,2.01,1,3.01,5.79,3.35,4.49,41.7,20.8,62.5
2003,280,47,96,56,83.5,75.9,26.5,46.5,4.42,2,1,3,5.36,3.12,3.95,45.2,22.6,67.9
2002,246,40,146,53.5,57,94.3,-57,-50,5.73,2.5,1.5,4,7.48,2.74,4.24,43.6,26.2,69.8
2001,208,57,123.5,57,114,96.1,30,35.7,5.21,2,2.5,4.5,7.89,3.64,4.68,38.4,48,86.4
2000,164,59,316,84,84,171,-162,-65.9,8.02,2,4,6,7.14,1.9,3.5,24.9,49.9,74.8
1999,116,-,850,203,246,420,-155,-38.7,21.7,1.2,16.8,18,8.87,2.12,4.28,5.53,77.4,82.9
1998,42.8,-,-,-,-,-,-,-,25.93,1,10,11,-,-,-,3.86,38.6,42.4
1997,21,-,-,-,-,-,-,-,8.72,0.5,9,9.5,-,-,-,5.73,103,109
1996,10.5,-,-,-,-,-,-,-,-,0.5,0,0.5,-,-,-,-,-,-
1995,-,-,-,-,-,-,-,-,-,0.5,10,10.5,-,-,-,-,-,-
1994,-,-,-,-,-,-,-,-,-,0.5,0,0.5,-,-,-,-,-,-
1993,-,-,-,-,-,-,-,-,-,0.5,2.2,2.7,-,-,-,-,-,-
1992,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
