年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,169",47,20.35,15,20.05,18.1,4.6,29.8,1.59,0.9,0,0.9,6,4.42,4.98,56.6,0,56.6
2018,"1,169",44,16.4,12.8,15.45,14.4,1.65,12,1.37,0.56,0,0.56,4.35,3.39,3.85,40.6,0,40.6
2017,"1,189",34,14.15,11.85,13.8,13.1,1.8,15,1.16,0.45,0,0.45,3.78,3.16,3.42,38.6,0,38.6
2016,"1,200",38,12.2,9.97,12,11.1,-0.15,-1.2,1.02,0.36,0,0.36,3.62,2.96,3.24,35.4,0,35.4
2015,"1,071",34,18.4,11.75,12.15,14.8,-3.25,-21.1,1.62,0.62,0.26,0.88,7.49,4.78,5.97,38.1,16.2,54.3
2014,"1,014",41,17.9,14.45,15.4,15.8,-2.4,-13.5,0.78,0.65,0.25,0.9,6.23,5.03,5.71,83.3,32.1,115
2013,989,44,18,14.1,17.8,15.5,2.85,19.1,0.61,0.55,0,0.55,3.9,3.06,3.54,90.2,0,90.2
2012,"1,002",41,17.95,12.25,14.95,14.6,-0.5,-3.2,1.47,0.2,0,0.2,1.63,1.11,1.37,13.6,0,13.6
2011,"1,002",50,24.05,14.1,15.45,18.7,-6.35,-29.1,1.01,0,0.92,0.92,6.51,3.81,4.92,0,90.8,90.8
2010,810,44,23.85,15.85,21.8,19.2,-1.7,-7.2,0.91,0.9,0,0.9,5.68,3.77,4.69,98.9,0,98.9
2009,810,44,26,11.55,23.5,20.2,8.8,59.9,0.21,0.18,0,0.18,1.56,0.69,0.89,85.7,0,85.7
2008,810,38,31.5,10.65,14.7,21,-6.45,-30.5,0.89,0.65,0,0.65,6.1,2.06,3.1,73,0,73
2007,835,41,25.1,13.95,21.15,18.4,4.85,29.8,-1.05,0,0,0,0,0,0,0,0,0
2006,316,22,17.4,10.8,16.3,13.8,3.05,23,-0.39,0,0,0,0,0,0,0,0,0
2005,316,32,18.6,11.85,13.25,15,-4.25,-24.3,1.23,0.51,0.51,1.02,8.61,5.48,6.8,41.7,41.2,82.9
2004,301,48,18.5,11.1,17.5,14.7,6.4,57.7,1,0.4,0.4,0.8,7.2,4.32,5.45,40,39.9,79.9
2003,289,45,13.4,9,11.1,10.4,1.3,13.3,0.02,0.45,0.25,0.7,7.77,5.22,6.7,2250,1244,3494
2002,283,39,15.5,8.5,9.8,10.6,-4.45,-31.2,-,-,-,-,-,-,-,-,-,-
2001,-,-,20.2,10.6,14.25,14.6,-0.75,-5,-,-,-,-,-,-,-,-,-,-
2000,-,-,35,11.95,15,21,-6.4,-29.9,-,-,-,-,-,-,-,-,-,-
1999,-,-,35,19,21.4,26,-2.3,-9.7,-,-,-,-,-,-,-,-,-,-
1998,-,-,54.5,23.7,23.7,39.2,-30.3,-56.1,-,-,-,-,-,-,-,-,-,-
1997,-,-,64,40.5,54,53.4,0,0,-,-,-,-,-,-,-,-,-,-
1996,-,-,62.5,41.7,54,50.4,2.5,4.9,-,-,-,-,-,-,-,-,-,-
1995,-,-,91,30,51.5,50.4,-40,-43.7,-,-,-,-,-,-,-,-,-,-
1994,-,-,93,60.5,91.5,73.1,28.5,45.2,-,-,-,-,-,-,-,-,-,-
