年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,73.5,57,264.5,176.5,195.5,215,20,11.4,7.88,6.7,1,7.7,4.36,2.91,3.58,85,12.7,97.7
2018,66.8,60,211.5,123,175.5,159,40,29.5,6.58,5,0,5,4.07,2.36,3.15,76,0,76
2017,66.8,55,151.5,110.5,135.5,131,15,12.4,6.67,5.2,0,5.2,4.71,3.43,3.96,78,0,78
2016,66.8,60,189,107.5,120.5,145,-47.5,-28.3,7.11,5,1.2,6.2,5.77,3.28,4.26,70.3,16.9,87.2
2015,59.6,57,212,91.9,168,167,71.8,74.6,5.33,3.7,0.3,4,4.35,1.89,2.4,69.4,5.63,75
2014,57.9,49,96.2,62.9,96.2,82.3,24.7,34.5,4.12,3.3,0.4,3.7,5.88,3.85,4.49,80.1,9.71,89.8
2013,55.7,51,79.7,34,71.5,56.5,36.6,105,3.14,2.2,0.4,2.6,7.65,3.26,4.6,70.1,12.7,82.8
2012,53.5,45,34.95,25.8,34.9,29.7,8.7,33.2,2.76,1.8,0.3,2.1,8.14,6.01,7.08,65.2,10.9,76.1
2011,52,45,33.35,23.65,26.2,28.3,-6.55,-20,2.98,1.8,0,1.8,7.61,5.4,6.36,60.4,0,60.4
2010,52,47,35,25.9,32.75,30.6,3.5,12,3.08,1.8,0.6,2.4,9.27,6.86,7.84,58.4,19.5,77.9
2009,49,51,30.2,15,29.25,22.8,13.85,89.9,1.8,1.2,0,1.2,8,3.97,5.25,66.7,0,66.7
2008,49,45,26.2,13.75,15.4,20.8,-10.3,-40.1,2.58,2,0,2,14.5,7.63,9.63,77.5,0,77.5
2007,49,49,30.95,24.2,25.7,27.2,-3.2,-11.1,1.7,1.4,0.24,1.64,6.78,5.3,6.02,82.4,14.1,96.5
2006,47.9,47,37.3,23.9,28.9,30.4,-6.1,-17.4,2.69,1.8,0.7,2.5,10.5,6.7,8.23,66.9,26,92.9
2005,44.7,53,36.85,31.8,35,34.8,-0.2,-0.6,2.85,1.8,0.8,2.6,8.18,7.06,7.47,63.2,28.1,91.2
2004,41.4,53,38.8,31,35.2,34.6,2.7,8.3,2.91,1.6,0.8,2.4,7.74,6.19,6.93,55,27.5,82.5
2003,38.4,53,34,24.7,32.5,28,4.9,17.8,2.77,2.2,0,2.2,8.91,6.47,7.85,79.4,0,79.4
2002,38.4,53,37.2,23.2,27.6,28.1,1.6,6.2,2.66,1,1,2,8.62,5.38,7.11,37.6,37.6,75.2
2001,34.9,53,28.9,18.5,26,23.1,5.5,26.8,2.13,0.8,1,1.8,9.73,6.23,7.81,37.6,46.9,84.5
2000,31.7,49,48.2,18.1,20.5,33.2,-17.7,-46.3,2.25,0.5,1.6,2.1,11.6,4.36,6.32,22.2,71.1,93.3
1999,27.3,49,77.5,36.1,38.2,47.9,-11.3,-22.8,2.87,0,2.5,2.5,6.93,3.23,5.22,0,87.1,87.1
1998,21.9,47,125.5,47,49.5,81,-26,-34.4,4.5,0,3.8,3.8,8.09,3.03,4.69,0,84.4,84.4
1997,15.8,49,123,46.6,75.5,86.5,-0.5,-0.7,3.29,0,3.5,3.5,7.51,2.85,4.05,0,106,106
1996,11.7,43,76,41,76,51.4,31.4,70.4,2.14,1.2,1.3,2.5,6.1,3.29,4.87,56.1,60.7,117
1995,10.4,43,89.5,38.5,44.6,61.3,-35.4,-44.2,4.34,0,4,4,10.4,4.47,6.53,0,92.2,92.2
1994,7.42,-,102,71.5,80,81.7,-20,-20,4.04,1.4,1.8,3.2,4.48,3.14,3.91,34.7,44.6,79.2
1993,6.29,-,102,65.5,100,78.7,32,47.1,3.89,1.5,1.5,3,4.58,2.94,3.81,38.6,38.6,77.2
1992,5.47,-,96,55.5,68,73.7,12.5,22.5,3.64,2.7,0,2.7,4.86,2.81,3.66,74.2,0,74.2
1991,5.47,-,-,-,-,-,-,-,7.67,1.5,3.5,5,-,-,-,19.6,45.6,65.2
1990,4.05,-,-,-,-,-,-,-,-,2,7,9,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
