年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,410,53,58.3,39.7,51.6,50.6,11.4,28.4,3.37,2,0,2,5.04,3.43,3.95,59.3,0,59.3
2018,410,50,41,34.5,40.2,39.1,7.9,24.5,3.04,1.8,0,1.8,5.22,4.39,4.61,59.2,0,59.2
2017,408,50,-,-,-,-,-,-,2.89,1.5,0,1.5,-,-,-,51.9,0,51.9
2016,408,44,-,-,-,-,-,-,2.98,1.5,0.2,1.7,-,-,-,50.3,6.71,57
2015,400,50,-,-,-,-,-,-,2.87,1.5,0.5,2,-,-,-,52.3,17.4,69.7
2014,381,50,-,-,-,-,-,-,2.74,1.5,0.25,1.75,-,-,-,54.7,9.12,63.9
2013,372,44,-,-,-,-,-,-,-,1.5,0,1.5,-,-,-,-,-,-
2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
