年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,260",47,10.7,8.28,10.65,9.21,1.68,18.7,0.89,0.2,0,0.2,2.42,1.87,2.17,22.5,0,22.5
2018,"1,219",34,12.75,8.91,8.97,11.3,-1.53,-14.6,1.05,0.34,0.14,0.48,5.39,3.77,4.26,32,13.7,45.7
2017,"1,024",25,10.8,7.61,10.5,8.73,2.6,32.9,0.48,0.2,0,0.2,2.68,1.89,2.34,42.5,0,42.5
2016,"1,023",25,8.63,5.99,7.9,6.74,0.75,10.5,0.57,0,0,0,0,0,0,0,0,0
2015,"1,023",28,10.25,6.47,7.15,8.6,-1.86,-20.6,0.7,0.1,0.41,0.51,7.89,4.98,5.93,14.6,58.3,72.9
2014,983,31,10.65,8.81,9.01,9.51,-1.29,-12.5,1.11,0.06,0.54,0.6,6.84,5.66,6.34,5.43,48.9,54.3
2013,933,38,10.7,8.06,10.3,9.73,2.11,25.8,1.16,0.03,0.26,0.29,3.62,2.72,3,2.51,22.6,25.1
2012,844,31,10.35,7.39,8.19,8.6,-0.39,-4.5,0.65,0,0,0,0,0,0,0,0,0
2011,844,34,15.05,7.46,8.58,11.2,-5.42,-38.7,0.32,0,0,0,0,0,0,0,0,0
2010,844,31,14.2,10.25,14,11.8,0.7,5.3,0.17,0,0,0,0,0,0,0,0,0
2009,787,34,17,6.35,13.3,11.9,4.4,49.4,-3.8,0,0,0,0,0,0,0,0,0
2008,625,22,29.15,6.6,8.9,18.1,-13.4,-60.1,1.02,0.5,0.5,1,15.2,3.43,5.51,49,49,98
2007,503,34,43.8,21.7,22.3,31.7,-12.8,-36.5,1.33,0.97,0.29,1.26,5.81,2.88,3.97,72.9,21.9,94.8
2006,470,31,39,24.5,35.1,30.5,9.55,37.4,1.74,0.63,0.63,1.27,5.16,3.24,4.14,36.4,36.4,72.7
2005,407,41,34.3,23.15,25.55,29.5,-5.05,-16.5,2.23,0.65,0.65,1.3,5.62,3.79,4.4,29.1,29.1,58.3
2004,297,36,34.5,19.9,30.6,28.1,8.6,39.1,2.36,0.31,0.72,1.03,5.17,2.98,3.67,13.1,30.5,43.6
2003,238,45,23.9,7.9,22,14,12.1,122,-6.28,0,0,0,0,0,0,0,0,0
2002,243,30,26.7,6.3,9.9,15.2,-13.6,-57.9,-,-,-,-,-,-,-,-,-,-
2001,-,-,30.9,18.5,23.5,23.2,-2.3,-8.9,-,-,-,-,-,-,-,-,-,-
2000,-,-,51.5,19.3,25.8,34.5,-14.2,-35.5,-,-,-,-,-,-,-,-,-,-
1999,-,-,67.5,37.1,40,50.7,-10.5,-20.8,-,-,-,-,-,-,-,-,-,-
1998,-,-,103.5,43,50.5,71.7,-52.5,-51,-,-,-,-,-,-,-,-,-,-
1997,-,-,125,71,103,99.2,-2,-1.9,-,-,-,-,-,-,-,-,-,-
1996,-,-,127,57,105,94,37,54.4,-,-,-,-,-,-,-,-,-,-
1995,-,-,114,57.5,68,80,-45.5,-40.1,-,-,-,-,-,-,-,-,-,-
1994,-,-,170,101,113.5,122,-40.5,-26.3,-,-,-,-,-,-,-,-,-,-
1993,-,-,154,81,154,118,73,90.1,-,-,-,-,-,-,-,-,-,-
