年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,497",41,10.3,8.92,9.89,9.6,0.17,1.7,0.54,0.3,0,0.3,3.36,2.91,3.13,55.6,0,55.6
2018,"1,496",38,11.7,9.46,9.72,10.7,-0.43,-4.2,0.8,0.6,0,0.6,6.34,5.13,5.62,75,0,75
2017,"1,498",34,10.3,7.89,10.15,8.78,2.09,25.9,0.4,0.5,0,0.5,6.34,4.85,5.7,125,0,125
2016,"1,497",38,8.65,6.94,8.06,7.95,-0.17,-2.1,0.58,0.5,0,0.5,7.2,5.78,6.29,86.2,0,86.2
2015,"1,511",41,13.3,7.72,8.23,10.2,-1.87,-18.5,0.73,0.6,0,0.6,7.77,4.51,5.89,82.2,0,82.2
2014,"1,534",41,10.5,8.3,10.1,9.39,1.1,12.2,0.56,0.4,0,0.4,4.82,3.81,4.26,71.4,0,71.4
2013,"1,503",44,9.23,7.47,9,8.47,1.4,18.4,0.39,0.18,0,0.18,2.41,1.95,2.13,46.2,0,46.2
2012,"1,446",38,10.2,6.33,7.6,7.69,-0.97,-11.3,0.15,0,0,0,0,0,0,0,0,0
2011,"1,125",38,13.8,7.45,8.57,10.7,-4.28,-33.3,0.8,0.59,0.1,0.69,9.27,5,6.48,74,12.3,86.3
2010,"1,132",41,13,7.88,12.85,9.05,3.05,31.1,0.69,0.5,0.1,0.6,7.61,4.62,6.63,72.5,14.5,87
2009,"1,122",41,9.99,5.41,9.8,7.91,2.56,35.4,-0.64,0,0,0,0,0,0,0,0,0
2008,"1,123",22,15.45,5.07,7.24,10.7,-5.56,-43.4,0.66,0.2,0.25,0.45,8.88,2.91,4.22,30.3,37.9,68.2
2007,"1,096",44,16.5,11.75,12.8,13.9,-2.2,-14.7,1.36,0.7,0.3,1,8.51,6.06,7.21,51.5,22.1,73.5
2006,"1,064",44,15.25,11.05,15,12.9,3.05,25.5,0.96,0.2,0.3,0.5,4.52,3.28,3.86,20.8,31.2,52.1
2005,"1,033",61,15.5,9.96,11.95,12.4,-3.35,-21.9,-0.54,0,0,0,0,0,0,0,0,0
2004,"1,121",20,21.2,14.6,15.3,16.7,-1.3,-7.8,-1.4,0,0,0,0,0,0,0,0,0
2003,"1,125",18,16.8,11.2,16.6,13.6,3.35,25.3,0.66,0.08,0.5,0.58,5.22,3.48,4.29,12.8,75.7,88.5
2002,"1,077",55,26.7,12.05,13.25,19.6,-10.25,-43.6,0.02,0,2.27,2.27,18.8,8.5,11.6,0,11342,11342
2001,784,66,38.2,15.8,23.5,25.9,-0.7,-2.9,-,-,-,-,-,-,-,-,-,-
2000,-,-,61.5,22.1,24.2,40.1,-25.8,-51.6,-,-,-,-,-,-,-,-,-,-
1999,-,-,85,41.2,50,56.5,-9,-15.3,-,-,-,-,-,-,-,-,-,-
1998,-,-,112.5,55,59,79.5,-34,-36.6,-,-,-,-,-,-,-,-,-,-
1997,-,-,193,75.5,93,113,9,10.7,-,-,-,-,-,-,-,-,-,-
1996,-,-,97.5,66.5,84,80.4,4,5,-,-,-,-,-,-,-,-,-,-
1995,-,-,146,68.5,80,105,-66,-45.2,-,-,-,-,-,-,-,-,-,-
1994,-,-,195,104,146,137,23,18.7,-,-,-,-,-,-,-,-,-,-
1993,-,-,125,52,123,77.5,65,112,-,-,-,-,-,-,-,-,-,-
1992,-,-,130,55.5,58,78.5,-17,-22.7,-,-,-,-,-,-,-,-,-,-
1991,-,-,138,59,75,90.8,-8,-9.6,-,-,-,-,-,-,-,-,-,-
