年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,77,57,285.5,182,242.5,234,17.5,7.8,36.31,12,0,12,6.59,4.2,5.12,33,0,33
2018,77,72,386,211.5,225,329,-103,-31.4,28.35,12,0,12,5.67,3.11,3.65,42.3,0,42.3
2017,77,70,399,212.5,328,318,104,46.4,28.58,10,0,10,4.71,2.51,3.14,35,0,35
2016,77,77,294.5,200,224,239,-52,-18.8,32.61,10,0,10,5,3.4,4.18,30.7,0,30.7
2015,77,85,402,242.5,276,328,29.5,12,23.52,6,0,6,2.47,1.49,1.83,25.5,0,25.5
2014,77,83,312.5,188.5,246.5,255,53,27.4,18.38,4.9,0,4.9,2.6,1.57,1.92,26.7,0,26.7
2013,75.1,81,201,123,193.5,153,49.5,34.4,14.51,6,0,6,4.88,2.99,3.91,41.4,0,41.4
2012,75.1,77,237,117.5,144,170,3.5,2.5,14.93,5,0,5,4.26,2.11,2.94,33.5,0,33.5
2011,75.1,81,277.5,104,140.5,170,32.5,30.1,6.66,3.68,0,3.68,3.54,1.33,2.16,55.3,0,55.3
2010,66.5,66,113,60,108,78.3,18.7,20.9,5.01,2,0,2,3.33,1.77,2.55,39.9,0,39.9
2009,66.5,64,100.5,54.3,89.3,79.8,34.9,64.2,7.25,1,1,2,3.68,1.99,2.51,13.8,13.8,27.6
2008,60,70,191.5,45.5,54.4,96.5,-134.6,-71.2,13.29,4,1,5,11,2.61,5.18,30.1,7.52,37.6
2007,54.2,87,382,156,189,267,-129.5,-40.7,15.68,3,3,6,3.85,1.57,2.25,19.1,19.1,38.3
2006,41.4,87,399.5,215,318.5,303,53.5,20.2,13.93,1.99,3.97,5.96,2.77,1.49,1.97,14.3,28.5,42.8
2005,28.4,85,330.5,94,265,185,160.5,154,9.25,0.92,3.69,4.61,4.91,1.4,2.49,9.97,39.9,49.9
2004,18.8,77,149,77.5,104.5,110,-18,-14.7,6.34,3,2,5,6.45,3.36,4.55,47.3,31.5,78.9
2003,15.5,74,124.5,45.8,122.5,78.2,76.1,164,2.44,0.6,1.5,2.1,4.59,1.69,2.68,24.6,61.5,86.1
2002,13.4,64,165,42,46.4,79.3,-14.1,-23.3,3,0,3,3,7.14,1.82,3.79,0,100,100
2001,10.2,-,74.5,24,60.5,50.3,24.5,68.1,3.05,0.5,2,2.5,10.4,3.36,4.97,16.4,65.6,82
2000,8.44,-,269,32.3,36,135,-190,-84.1,6.57,0,5,5,15.5,1.86,3.69,0,76.1,76.1
1999,4.81,-,291,133.5,226,233,92.5,69.3,4.47,0,4,4,3,1.37,1.72,0,89.5,89.5
1998,3.27,-,-,-,-,-,-,-,-,0,7,7,-,-,-,-,-,-
1997,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-
1996,-,-,-,-,-,-,-,-,-,0,10,10,-,-,-,-,-,-
1995,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
