年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,563,59,47,29.85,36.3,37.4,5.75,18.8,1.9,1.12,0,1.12,3.75,2.38,2.99,58.9,0,58.9
2018,563,59,33.3,21.4,30.55,25.6,7.05,30,0.95,0.75,0,0.75,3.5,2.25,2.93,78.9,0,78.9
2017,563,57,27.5,18.4,23.5,23.5,5.1,27.7,0.74,0.6,0,0.6,3.26,2.18,2.56,81.1,0,81.1
2016,563,48,24.8,18.15,18.4,19,3.25,21.5,7.19,0.65,0,0.65,3.58,2.62,3.42,9.04,0,9.04
2015,561,68,-,-,-,-,-,-,0.55,0,0,0,-,-,-,0,0,0
2014,651,55,-,-,-,-,-,-,0.21,0,0,0,-,-,-,0,0,0
2013,651,50,-,-,-,-,-,-,0.25,0,0,0,-,-,-,0,0,0
2012,651,-,-,-,-,-,-,-,0.59,0,0,0,-,-,-,0,0,0
2011,651,-,-,-,-,-,-,-,-0.48,0,0,0,-,-,-,0,0,0
2010,651,-,-,-,-,-,-,-,-1.03,0,0,0,-,-,-,0,0,0
2009,650,-,-,-,-,-,-,-,-4.58,0,0,0,-,-,-,0,0,0
2008,590,-,-,-,-,-,-,-,-6.1,0,0,0,-,-,-,0,0,0
2007,567,-,-,-,-,-,-,-,-1.32,0,0,0,-,-,-,0,0,0
2006,505,-,-,-,-,-,-,-,-1.03,0,0,0,-,-,-,0,0,0
2005,500,-,-,-,-,-,-,-,-1.08,0,0,0,-,-,-,0,0,0
2004,500,-,-,-,-,-,-,-,-0.43,0,0,0,-,-,-,0,0,0
2003,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
