年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,164,72,82.4,55,77.7,64.9,18.2,30.6,3.76,3.2,0,3.2,5.82,3.88,4.93,85.1,0,85.1
2018,164,77,83.6,49.05,59.5,65.2,-6.5,-9.8,2.75,3,0,3,6.12,3.59,4.6,109,0,109
2017,164,72,73.3,51.8,66,57.9,9.8,17.4,3.38,3,0,3,5.79,4.09,5.18,88.8,0,88.8
2016,164,79,69.5,36.9,56.2,54.2,13.4,31.3,2.54,2.6,0,2.6,7.05,3.74,4.8,102,0,102
2015,164,72,58.4,31.5,42.8,45.2,-9.5,-18.2,3.35,2.6,0,2.6,8.25,4.45,5.75,77.6,0,77.6
2014,164,81,53.6,32.95,52.3,44.2,16.9,47.7,2.76,1.76,0,1.76,5.33,3.28,3.98,63.7,0,63.7
2013,164,81,38.6,20.1,35.4,30.9,15.25,75.7,1.5,0.97,0,0.97,4.84,2.52,3.15,64.9,0,64.9
2012,163,68,20.85,10.35,20.15,15.1,9.6,91,0.54,0.63,0,0.63,6.06,3.01,4.17,116,0,116
2011,162,57,18.45,9.47,10.55,13.3,-4.25,-28.7,1.17,0.6,0,0.6,6.32,3.25,4.51,51.2,0,51.2
2010,165,68,17.5,10.8,14.8,14,-1.3,-8.1,0.05,0.4,0,0.4,3.71,2.29,2.86,801,0,801
2009,168,53,16.7,6.2,16.1,12.5,8.65,116,0.61,0.4,0,0.4,6.45,2.4,3.21,65.6,0,65.6
2008,170,60,25.3,5.9,7.45,16.9,-16.85,-69.3,2.55,1.72,0.05,1.77,29.9,6.98,10.4,67.3,1.98,69.2
2007,170,87,35.3,22.15,24.3,28.3,-0.15,-0.6,1.84,1.39,0.1,1.49,6.7,4.21,5.25,75.3,5.38,80.7
2006,165,79,26.4,18,24.45,21.8,-0.55,-2.2,1.69,1.4,0.1,1.5,8.32,5.67,6.88,82.7,5.91,88.6
2005,161,79,33.45,18.25,25,24.5,2.9,13.1,3.24,1.63,0.69,2.32,12.7,6.95,9.51,50.4,21.4,71.8
2004,147,-,23.2,9.4,22.1,14.8,9.35,73.3,0.06,0,0,0,0,0,0,0,0,0
2003,280,-,15.2,4.02,12.75,8.56,5.6,78.3,-1.48,0,0,0,0,0,0,0,0,0
2002,220,-,28.1,7.05,7.15,15.2,-8.75,-55,-3.95,0,0,0,0,0,0,0,0,0
2001,220,-,25.7,5.15,15.9,13.5,2.95,22.8,1.17,0,0,0,0,0,0,0,0,0
2000,220,-,62,12.65,12.95,39,-28.05,-68.4,-0.9,0,0,0,0,0,0,0,0,0
1999,220,-,42.9,18,41,29.6,21.9,115,-2.53,0,0,0,0,0,0,0,0,0
1998,202,-,51,16.2,19.1,26,-18.3,-48.9,-0.04,0,0,0,0,0,0,0,0,0
1997,192,-,-,-,-,-,-,-,0.2,0,0,0,-,-,-,0,0,0
1996,192,-,-,-,-,-,-,-,-,0,0.6,0.6,-,-,-,-,-,-
1995,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
1994,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
