年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,60.9,68,239,130.5,225.5,184,83.5,58.8,10.5,8.8,0,8.8,6.74,3.68,4.78,83.8,0,83.8
2018,60.9,64,161.5,113.5,142,136,28.5,25.1,8.26,7.1,0,7.1,6.26,4.4,5.23,86,0,86
2017,60.9,60,129,106,113.5,116,7,6.6,8.22,7,0,7,6.6,5.43,6.03,85.2,0,85.2
2016,60.9,60,141,102,106.5,115,-22.5,-17.4,10.52,9,0,9,8.82,6.38,7.81,85.6,0,85.6
2015,60.9,62,199.5,95.7,129,142,-49,-27.5,11.85,10,0,10,10.4,5.01,7.06,84.4,0,84.4
2014,60.9,62,186,117.5,178,149,56,45.9,7.81,6,0,6,5.11,3.23,4.03,76.8,0,76.8
2013,60.9,60,158,104.5,122,126,4.5,3.8,7.36,5.59,0,5.59,5.35,3.54,4.43,76,0,76
2012,60.6,62,125.5,73.8,117.5,95.7,41.6,54.8,6.16,4.6,0,4.6,6.23,3.66,4.81,74.7,0,74.7
2011,60.2,62,101,61,75.9,83.1,-18.1,-19.3,7.69,5.8,0,5.8,9.51,5.74,6.98,75.4,0,75.4
2010,59.9,62,113,73.2,94,92.9,-13,-12.1,6.78,5,0,5,6.83,4.42,5.38,73.7,0,73.7
2009,59.6,66,109.5,31.5,107,71.7,75.9,244,6.18,4.5,0.05,4.55,14.4,4.16,6.35,72.8,0.81,73.6
2008,58.6,64,125,23.5,31.1,79.4,-92.9,-74.9,14.02,8.56,0.1,8.65,36.8,6.92,10.9,61.1,0.68,61.7
2007,54.2,70,191.5,104,124,151,-23.5,-15.9,12.07,8,0.2,8.2,7.88,4.28,5.42,66.3,1.66,67.9
2006,52,64,255,134.5,147.5,177,-45.5,-23.6,12.21,7.99,1.1,9.09,6.76,3.56,5.13,65.5,9,74.5
2005,46.1,64,204,95.5,193,142,82,73.9,9,5.4,1.35,6.75,7.07,3.31,4.76,60,15,75
2004,39.9,-,152,75.5,111,109,15,15.6,6.28,2.8,1.4,4.2,5.56,2.76,3.85,44.6,22.3,66.9
2003,33.8,-,123,50.5,96,84.1,30.5,46.6,3.75,1.5,1.5,3,5.94,2.44,3.57,40,40,80
2002,28.9,68,155,58,65.5,96.5,-29.5,-31.1,3.79,1,2,3,5.17,1.94,3.11,26.4,52.8,79.2
2001,23.5,74,156,33.8,95,78.1,-5,-5,7.18,0,5,5,14.8,3.21,6.4,0,69.6,69.6
2000,15.1,-,-,-,-,-,-,-,6.66,0,5,5,-,-,-,0,75.1,75.1
1999,9.72,-,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,-
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
