年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,261,36,71.5,46.75,70.2,55.4,18.8,36.6,4.25,3.5,0,3.5,7.49,4.9,6.32,82.4,0,82.4
2018,261,34,81.9,48.2,51.4,64.9,-20.6,-28.6,5.66,4,0,4,8.3,4.89,6.17,70.7,0,70.7
2017,261,36,100,67.5,72,85,-5,-6.5,7.5,4.93,0,4.93,7.3,4.93,5.8,65.7,0,65.7
2016,258,36,86.8,60.2,77,74.6,5,6.9,9.23,5.03,0,5.03,8.36,5.79,6.74,54.5,0,54.5
2015,260,38,98.4,71.2,72,85.3,-1,-1.4,6.24,4.04,0,4.04,5.67,4.1,4.73,64.7,0,64.7
2014,252,36,75.3,37.8,73,54.4,34.6,90.1,4.16,2.77,0,2.77,7.32,3.68,5.09,66.5,0,66.5
2013,232,38,55.4,33.85,38.4,43.8,0.85,2.3,2.71,1.48,0,1.48,4.38,2.67,3.38,54.7,0,54.7
2012,229,36,48.1,32.4,37.55,39.3,4.6,14,0.05,0,0,0,0,0,0,0,0,0
2011,226,38,42.2,24.7,32.95,32.2,-9.05,-21.5,2.73,1.45,0,1.45,5.87,3.44,4.51,53.1,0,53.1
2010,226,43,46.2,29.1,42,39.7,6,16.7,2.95,1.75,0,1.75,6.01,3.79,4.41,59.3,0,59.3
2009,229,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
