num,Date,estimate
220,2019/8/5,239.4887425
221,2019/8/6,239.5067152
222,2019/8/7,239.3384558
223,2019/8/8,239.1138879
224,2019/8/9,238.9893161
226,2019/8/11,239.4353185
227,2019/8/12,239.8945092
228,2019/8/13,240.2416962
229,2019/8/14,240.2975827
230,2019/8/15,240.0731275
231,2019/8/16,239.7957452
233,2019/8/18,240.1976161
234,2019/8/19,240.9926574
235,2019/8/20,241.894548
236,2019/8/21,242.6370349
237,2019/8/22,243.1382954
238,2019/8/23,243.5299885
240,2019/8/25,244.7047793
241,2019/8/26,245.5060707
242,2019/8/27,246.2444395
243,2019/8/28,246.8053772
244,2019/8/29,247.2354466
245,2019/8/30,247.7019965
247,2019/9/1,249.237269
248,2019/9/2,250.2223458
249,2019/9/3,251.1390662
250,2019/9/4,251.842514
251,2019/9/5,252.2711464
252,2019/9/6,252.4495607
254,2019/9/8,252.4699008
255,2019/9/9,252.5882404
256,2019/9/10,252.8968507
257,2019/9/11,253.3321082
258,2019/9/12,253.695667
259,2019/9/13,253.7584874
261,2019/9/15,252.8022402
262,2019/9/16,252.1995101
263,2019/9/17,251.8836444
264,2019/9/18,251.9196159
265,2019/9/19,252.1242583
266,2019/9/20,252.2073069
268,2019/9/22,251.4947566
269,2019/9/23,250.9384626
270,2019/9/24,250.494977
271,2019/9/25,250.1799811
272,2019/9/26,249.8529652
273,2019/9/27,249.3565216
275,2019/9/29,247.8941581
276,2019/9/30,247.2433226
277,2019/10/1,246.8162483
278,2019/10/2,246.5729144
279,2019/10/3,246.3632015
280,2019/10/4,246.0226033
282,2019/10/6,244.6347704
283,2019/10/7,243.6411962
284,2019/10/8,242.5917741
285,2019/10/9,241.6352709
286,2019/10/10,240.8901964
287,2019/10/11,240.3688387
289,2019/10/13,239.36076
290,2019/10/14,238.4610992
291,2019/10/15,237.2459009
292,2019/10/16,235.9419323
293,2019/10/17,234.860124
294,2019/10/18,234.1868792
296,2019/10/20,233.6068595
297,2019/10/21,233.1767355
298,2019/10/22,232.4902032
299,2019/10/23,231.685435
300,2019/10/24,230.9761578
301,2019/10/25,230.4694326
303,2019/10/27,229.6695927
304,2019/10/28,229.0978186
305,2019/10/29,228.428696
306,2019/10/30,227.8355195
307,2019/10/31,227.4783367
308,2019/11/1,227.3900075
310,2019/11/3,227.5215901
311,2019/11/4,227.4252669
312,2019/11/5,227.1126683
313,2019/11/6,226.6085885
314,2019/11/7,226.0048966
315,2019/11/8,225.4372423
317,2019/11/10,224.892653
318,2019/11/11,224.9189112
319,2019/11/12,224.9210083
320,2019/11/13,224.6670449
321,2019/11/14,224.053039
322,2019/11/15,223.2001517
324,2019/11/17,221.9184068
325,2019/11/18,221.8232068
326,2019/11/19,221.9284937
327,2019/11/20,221.9432427
328,2019/11/21,221.6827441
329,2019/11/22,221.186546
331,2019/11/24,220.2689495
