年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,256",41,47.25,38.85,42.7,42.5,-4.3,-9.1,3.95,1.5,0,1.5,3.86,3.17,3.53,38,0,38
2018,"1,256",38,56.8,45.9,47,52.2,-6.5,-12.1,4.47,2.5,0,2.5,5.45,4.4,4.79,55.9,0,55.9
2017,"1,256",31,56.2,46.05,53.5,49.4,5.3,11,3.79,2,0,2,4.34,3.56,4.05,52.8,0,52.8
2016,"1,256",28,50.5,33.6,48.2,39.2,1.9,4.1,4.58,2,0,2,5.95,3.96,5.11,43.7,0,43.7
2015,"1,256",34,56.5,38.6,46.3,48.5,-0.65,-1.4,3.94,2,0,2,5.18,3.54,4.13,50.8,0,50.8
2014,"1,256",41,54.1,42.1,46.95,47.3,-1.3,-2.7,2.5,1.5,0.5,2,4.75,3.7,4.23,60,20,80
2013,"1,196",41,48.85,31.15,48.25,41,16.75,53.2,1.6,0.7,0.68,1.38,4.42,2.82,3.36,43.8,42.3,86.1
2012,"1,087",41,37,27.8,31.5,31,-1.2,-3.7,1.1,0.5,0.5,1,3.6,2.7,3.23,45.5,45.5,90.9
2011,"1,036",41,55.4,28,32.7,41.6,-19,-36.8,0.42,0.6,0.2,0.8,2.86,1.44,1.92,143,47.6,190
2010,"1,015",41,61.2,42.75,51.7,50,-8,-13.4,1.12,0.5,0.5,1,2.34,1.63,2,44.6,44.6,89.3
2009,967,44,62.4,24,59.7,46.3,23.2,63.6,0.2,0,0,0,0,0,0,0,0,0
2008,974,38,87.6,28.1,36.5,61.8,-31.1,-46,3.34,2.5,0.5,3,10.7,3.42,4.86,74.9,15,89.8
2007,928,44,94.3,63.5,67.6,74.3,-6.4,-8.6,1.19,1.5,0,1.5,2.36,1.59,2.02,126,0,126
2006,921,41,78.5,57.1,74,66.4,14.5,24.4,2.57,1.49,0.5,1.99,3.49,2.54,3,58.1,19.3,77.5
2005,852,42,65,55.5,59.5,60.8,-5.5,-8.5,3.7,2.5,0,2.5,4.5,3.85,4.11,67.6,0,67.6
2004,832,43,68.5,51,65,60.6,14,27.5,2.69,2,0,2,3.92,2.92,3.3,74.3,0,74.3
2003,831,39,58.5,36.3,51,43.9,14.1,38.2,2.23,1.5,0,1.5,4.13,2.56,3.41,67.3,0,67.3
2002,845,34,58.5,34.5,36.9,45.1,-20.1,-35.3,1.82,1.5,0,1.5,4.35,2.56,3.33,82.6,0,82.6
2001,584,48,71.5,29,57,46.6,-1,-1.7,-,-,-,-,-,-,-,-,-,-
2000,-,-,97,47,58,73.2,-17.5,-23.2,-,-,-,-,-,-,-,-,-,-
1999,-,-,128.5,71,75.5,98.4,-28.5,-27.4,-,-,-,-,-,-,-,-,-,-
1998,-,-,147.5,90,104,118,-41,-28.3,-,-,-,-,-,-,-,-,-,-
1997,-,-,190,112,145,152,-30,-17.1,-,-,-,-,-,-,-,-,-,-
1996,-,-,200,112,175,160,49.5,39.4,-,-,-,-,-,-,-,-,-,-
1995,-,-,203,107,125.5,140,-76.5,-37.9,-,-,-,-,-,-,-,-,-,-
1994,-,-,288,184,202,227,-40,-16.5,-,-,-,-,-,-,-,-,-,-
1993,-,-,249,100.5,242,157,132.5,121,-,-,-,-,-,-,-,-,-,-
1992,-,-,266,106,109.5,173,-112.5,-50.7,-,-,-,-,-,-,-,-,-,-
1991,-,-,487,207,222,333,-113,-33.7,-,-,-,-,-,-,-,-,-,-
