年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,246",53,24,19.7,24,21.9,4,20,1.4,1,0.1,1.1,5.58,4.58,5.03,71.4,7.14,78.6
2018,"1,234",47,21.4,19.2,20,20.3,0.45,2.3,1.27,0.9,0.1,1,5.21,4.67,4.93,70.9,7.87,78.7
2017,"1,222",44,20.75,17.1,19.55,19.1,2.35,13.7,1.45,1.2,0.2,1.4,8.19,6.75,7.32,82.8,13.8,96.6
2016,"1,198",44,17.8,14.15,17.2,16.3,1.9,12.4,1.55,0.95,0.45,1.4,9.89,7.87,8.59,61.3,29,90.3
2015,"1,146",47,19.85,14.85,15.3,17.4,-3.35,-18,1.52,0.7,0.65,1.35,9.09,6.8,7.77,46.1,42.8,88.8
2014,926,47,20.9,17.7,18.65,18.5,0.1,0.5,1.26,0.5,0.7,1.2,6.78,5.74,6.49,39.7,55.6,95.2
2013,865,44,19.4,16.8,18.55,18,0.85,4.8,1.25,0.45,0.65,1.1,6.55,5.67,6.12,36,52,88
2012,813,44,19.7,16.2,17.7,17.6,-0.05,-0.3,1.08,0.4,0.6,1,6.17,5.08,5.68,37,55.6,92.6
2011,767,41,27.55,16.1,17.75,22.7,-9.1,-33.9,1.09,0.3,0.6,0.9,5.59,3.27,3.97,27.5,55,82.6
2010,648,41,27.35,15.8,26.85,19.1,7,35.3,0.44,0.5,0.25,0.75,4.75,2.74,3.93,114,56.8,170
2009,632,34,22.4,12.2,19.85,18.3,2.6,15.1,1.2,0.5,0.25,0.75,6.15,3.35,4.1,41.7,20.8,62.5
2008,616,38,38.8,12.35,17.25,25.7,-6.7,-28,2.06,1.7,0.12,1.82,14.7,4.69,7.07,82.5,5.83,88.3
2007,609,50,27,20.25,23.95,23.5,-0.8,-3.2,1.79,1,0.2,1.2,5.93,4.44,5.1,55.9,11.2,67
2006,597,50,26.35,20.9,24.75,23.5,1.25,5.3,2.43,1.25,0.25,1.5,7.18,5.69,6.38,51.4,10.3,61.7
2005,583,59,27.6,21.9,23.5,24.9,-3.7,-13.6,1.86,0.75,0.5,1.25,5.71,4.53,5.02,40.3,26.9,67.2
2004,555,50,29.9,20.5,27.2,25.5,3.5,14.8,-2.57,0,0,0,0,0,0,0,0,0
2003,555,30,29,18.1,23.7,21.9,-0.9,-3.7,-,0,0,0,0,0,0,-,-,-
2002,-,-,29.4,16.3,23,21.9,1.4,6.5,-,-,-,-,-,-,-,-,-,-
2001,-,-,31,13.5,21.6,20.2,0.9,4.3,-,-,-,-,-,-,-,-,-,-
2000,-,-,52,18,20.7,31.8,-18.4,-47.1,-,-,-,-,-,-,-,-,-,-
1999,-,-,68,35.7,39.1,49.1,-5.9,-13.1,-,-,-,-,-,-,-,-,-,-
1998,-,-,93.5,44,45,67.1,-45,-50,-,-,-,-,-,-,-,-,-,-
1997,-,-,197,85,90,126,-76,-45.8,-,-,-,-,-,-,-,-,-,-
1996,-,-,172,94,166,145,66.5,66.8,-,-,-,-,-,-,-,-,-,-
1995,-,-,189,84,99.5,117,-88.5,-47.1,-,-,-,-,-,-,-,-,-,-
1994,-,-,266,151,188,184,-28,-13,-,-,-,-,-,-,-,-,-,-
1993,-,-,216,79,216,140,132,157,-,-,-,-,-,-,-,-,-,-
1992,-,-,207,70,84,111,-78,-48.1,-,-,-,-,-,-,-,-,-,-
1991,-,-,290,151,162,208,-125,-43.6,-,-,-,-,-,-,-,-,-,-
