年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"2,593",89,345,206.5,335,259,109.5,48.6,13.54,8,0,8,3.87,2.32,3.09,59.1,0,59.1
2018,"2,593",94,268,210,225.5,237,-4,-1.7,13.23,8,0,8,3.81,2.99,3.37,60.5,0,60.5
2017,"2,593",91,245,179,229.5,210,48,26.4,12.89,7,0,7,3.91,2.86,3.33,54.3,0,54.3
2016,"2,593",91,193,130.5,181.5,166,38.5,26.9,11.82,6,0,6,4.6,3.11,3.61,50.8,0,50.8
2015,"2,593",94,155,112.5,143,140,2,1.4,10.18,4.5,0,4.5,4,2.9,3.22,44.2,0,44.2
2014,"2,593",91,142,100.5,141,123,35.5,33.6,7.26,3,0,3,2.98,2.11,2.45,41.3,0,41.3
2013,"2,593",89,116.5,92.9,105.5,104,8.5,8.8,6.41,3,0,3,3.23,2.57,2.88,46.8,0,46.8
2012,"2,592",94,99.4,73.8,97,84.1,21.2,28,5.18,3,0,3,4.06,3.02,3.57,57.9,0,57.9
2011,"2,592",94,78.3,62.2,75.8,72.1,4.8,6.8,6.24,3,0,3,4.82,3.83,4.16,48.1,0,48.1
2010,"2,591",96,75,57,71,62,6.5,10.1,3.45,3,0,3,5.26,4,4.84,86.9,0,86.9
2009,"2,590",91,65.2,38.7,64.5,55.5,20.1,45.3,3.86,3,0.05,3.05,7.88,4.68,5.5,77.7,1.3,79
2008,"2,563",94,69.8,36.4,44.4,56.4,-17.6,-28.4,4.14,3.03,0.05,3.08,8.45,4.41,5.45,73.1,1.22,74.3
2007,"2,643",94,73.1,57.4,62,65.5,-5.5,-8.1,4.93,3,0.05,3.05,5.31,4.17,4.65,60.8,1.01,61.9
2006,"2,583",96,70,52.3,67.5,61.3,5,8,3.79,2.5,0.3,2.8,5.35,4,4.56,65.9,7.91,73.9
2005,"2,473",94,64.3,46.2,62.5,54.1,12,23.8,3.97,2,0.5,2.5,5.41,3.89,4.62,50.4,12.6,63
2004,"2,325",89,68.5,40.7,50.5,52.4,-13,-20.5,2.33,0.6,1.41,2.01,4.94,2.94,3.84,25.9,60.5,86.4
2003,"2,027",79,72.5,40.1,63.5,56.4,20.9,49.1,1.14,0,0.8,0.8,2,1.1,1.42,0,70.2,70.2
2002,"1,862",66,97.5,34.9,42.6,67.4,-44.9,-51.3,0.83,0,1,1,2.87,1.03,1.48,0,120,120
2001,"1,683",60,105.5,43.6,87.5,77.7,9,11.5,5.71,0,4,4,9.17,3.79,5.15,0,70.1,70.1
2000,"1,169",91,224,74.5,78.5,147,-88.5,-53,3.24,0,2.8,2.8,3.76,1.25,1.91,0,86.4,86.4
1999,767,83,171,68,167,120,96,135,2.54,0,2.3,2.3,3.38,1.35,1.92,0,90.6,90.6
1998,605,72,173,56.5,71,101,-41,-36.6,4.4,0,4.5,4.5,7.96,2.6,4.47,0,102,102
1997,408,83,173,55.5,112,109,55.5,98.2,7.31,0,5,5,9.01,2.89,4.57,0,68.4,68.4
1996,265,94,106,49.1,56.5,63.8,-28.5,-33.5,10.48,0,8,8,16.3,7.55,12.5,0,76.3,76.3
1995,144,-,196,77,85,128,-72,-45.9,10.86,0,8,8,10.4,4.08,6.23,0,73.6,73.6
1994,78,-,177,96,157,159,61,63.5,6.98,1,2.48,3.48,3.62,1.97,2.19,14.3,35.5,49.9
1993,60.8,-,-,-,-,-,-,-,2.09,0,1.04,1.04,-,-,-,0,49.7,49.7
1992,55.1,-,-,-,-,-,-,-,1.11,0.1,0.4,0.5,-,-,-,9.03,36.1,45.2
1991,47.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
