年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,159,62,464,213.5,454.5,326,225,98,13.26,9,0,9,4.22,1.94,2.76,67.9,0,67.9
2018,159,57,374.5,199.5,229.5,280,-64.5,-21.9,15.56,10,0,10,5.01,2.67,3.58,64.3,0,64.3
2017,158,62,350.5,203,294,260,77.5,35.8,15.16,9.5,0,9.5,4.68,2.71,3.66,62.7,0,62.7
2016,158,57,265,192,216.5,231,-33.5,-13.4,16.6,11,0,11,5.73,4.15,4.77,66.3,0,66.3
2015,157,70,505,227,250,355,-212,-45.9,30.04,22,0,22,9.69,4.36,6.2,73.2,0,73.2
2014,157,81,545,384,462,467,18.5,4.2,20.51,15,0,15,3.91,2.75,3.21,73.1,0,73.1
2013,135,72,448.5,295,443.5,366,120,37.1,12.9,9,0,9,3.05,2.01,2.46,69.8,0,69.8
2012,135,68,351,235,323.5,294,46,16.6,12.35,9,0,9,3.83,2.56,3.06,72.9,0,72.9
2011,115,70,424,221,277.5,316,-140,-33.5,28.44,20,0,20,9.05,4.72,6.34,70.3,0,70.3
2010,110,87,590,372,417.5,478,-140.5,-25.2,34.12,26,0.02,26.02,6.99,4.41,5.45,76.2,0.06,76.3
2009,109,91,558,228,558,413,337.5,153,18.01,14,0.02,14.02,6.15,2.51,3.4,77.7,0.11,77.8
2008,107,85,444.5,177,220.5,328,-200.5,-47.6,32.59,19,0.1,19.1,10.8,4.3,5.83,58.3,0.31,58.6
2007,104,96,656,325.5,421,477,84,24.9,23.5,15,0.5,15.5,4.76,2.36,3.25,63.8,2.13,66
2006,96.8,98,418,259,337,332,-50,-12.9,21.31,11,1,12,4.63,2.87,3.61,51.6,4.69,56.3
2005,86.4,96,403.5,171,387,278,171,79.2,18.73,10,1,11,6.43,2.73,3.96,53.4,5.34,58.7
2004,76.9,96,396,187,216,276,-103,-32.3,25.96,8.55,1.81,10.36,5.54,2.61,3.75,32.9,6.97,39.9
2003,64.2,98,434,252,319,325,34,11.9,26.79,8,3.5,11.5,4.56,2.65,3.54,29.9,13.1,42.9
2002,46,91,783,240,285,473,-303,-51.5,21.21,4,4,8,3.33,1.02,1.69,18.9,18.9,37.7
2001,31.6,91,588,219,588,356,291,98,15.34,1,4,5,2.28,0.85,1.4,6.52,26.1,32.6
2000,21.7,-,-,-,-,-,-,-,14.6,0,7.5,7.5,-,-,-,0,51.4,51.4
1999,11.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
