年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,54.6,43,678,244.5,678,448,422.5,165,18.36,12,0,12,4.91,1.77,2.68,65.4,0,65.4
2018,54.6,40,388,200.5,255.5,278,-98.5,-27.8,18.52,12,0,12,5.99,3.09,4.32,64.8,0,64.8
2017,54.6,43,403.5,336,354,358,-15,-4.1,19.66,12,0,12,3.57,2.97,3.35,61,0,61
2016,54.6,45,385.5,270.5,369,341,-11,-2.9,17.9,12,0,12,4.44,3.11,3.52,67,0,67
2015,54.6,45,542,294,380,425,-95.5,-20.1,16.84,10.5,0,10.5,3.57,1.94,2.47,62.4,0,62.4
2014,54.6,40,513,343.5,475.5,397,107.5,29.2,14.01,12.6,0,12.6,3.67,2.46,3.18,89.9,0,89.9
2013,54.6,45,415,223,368,300,135,57.9,13.76,9,0,9,4.04,2.17,3,65.4,0,65.4
2012,54.6,43,261,138,233,198,87.5,60.1,12.06,8,0,8,5.8,3.07,4.05,66.3,0,66.3
2011,54.6,47,173.5,80.9,145.5,113,56.3,63.1,8.89,6,0,6,7.42,3.46,5.33,67.5,0,67.5
2010,54.6,43,96.2,62.8,89.2,81.2,12.3,16,6,4,0,4,6.37,4.16,4.93,66.7,0,66.7
2009,54.6,43,85.7,44,76.9,67.1,26.4,52.3,4.6,2.5,0,2.5,5.68,2.92,3.73,54.3,0,54.3
2008,54.6,40,102.5,44,50.5,78.1,-33.9,-40.2,6.23,4.2,0,4.2,9.55,4.1,5.37,67.4,0,67.4
2007,54.6,45,94,73,84.4,81.6,9.9,13.3,6.44,4.2,0,4.2,5.75,4.47,5.15,65.2,0,65.2
2006,54.6,40,84.3,60,74.5,70.7,-6,-7.5,8.36,5.5,0,5.5,9.17,6.52,7.77,65.8,0,65.8
2005,54.6,40,93.7,60.5,80.5,75,15.5,23.8,6.23,4,0,4,6.61,4.27,5.33,64.2,0,64.2
2004,54.6,43,65.5,38.5,65,51.6,26.4,68.4,3.94,2.5,0,2.5,6.49,3.82,4.84,63.5,0,63.5
2003,54.6,36,40.4,25.6,38.6,31,10.2,35.9,2.6,1.8,0,1.8,7.03,4.46,5.81,69.2,0,69.2
2002,54.6,36,35.3,14.5,28.4,24.4,13.7,93.2,1.83,1.5,0,1.5,10.3,4.25,6.15,82,0,82
2001,54.6,36,22,12.5,14.7,16.8,-5.8,-28.3,2.27,1.5,0,1.5,12,6.82,8.93,66.1,0,66.1
2000,54.6,38,32.5,19,20.5,23.9,0.3,1.5,1.68,1,0.5,1.5,7.89,4.62,6.27,59.5,29.8,89.3
1999,52,34,36.6,19.9,20.2,28.1,-13.7,-40.4,2.52,1,0.5,1.5,7.54,4.1,5.33,39.7,19.8,59.5
1998,49.5,-,53.5,33.79,33.9,43.4,-16.1,-32.2,2.69,0.5,1.5,2,5.92,3.74,4.61,18.6,55.8,74.3
1997,43.1,-,67.5,40,50,51.6,-6,-10.7,1.97,1.5,0.5,2,5,2.96,3.88,76.1,25.4,102
1996,41,-,-,-,-,-,-,-,2.78,0.4,2.75,3.15,-,-,-,14.4,99.1,113
1995,32.2,-,-,-,-,-,-,-,4.66,1,4,5,-,-,-,21.5,85.9,107
1994,19.8,-,-,-,-,-,-,-,4.3,2,2,4,-,-,-,46.6,46.6,93.1
1993,14.7,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-
1992,-,-,-,-,-,-,-,-,-,2,3,5,-,-,-,-,-,-
1991,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
