年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,953,53,119,94,97.3,106,-11.7,-10.7,6.31,4.8,0,4.8,5.11,4.03,4.52,76.1,0,76.1
2018,953,55,151,100.5,109,120,-6.5,-5.6,8.42,6.3,0,6.3,6.27,4.17,5.23,74.8,0,74.8
2017,953,64,119,101,115.5,107,3.5,3.1,7.95,6,0,6,5.94,5.04,5.63,75.5,0,75.5
2016,953,64,115,74.3,112,92.8,33.2,42.1,4.97,4,0,4,5.38,3.48,4.31,80.5,0,80.5
2015,953,55,84.4,63.9,78.8,74.4,10.1,14.7,0.95,0.85,0,0.85,1.33,1.01,1.14,89.5,0,89.5
2014,953,36,84,63.1,68.7,74,-13.1,-16,2.82,2.5,0,2.5,3.96,2.98,3.38,88.7,0,88.7
2013,953,36,88.5,69,81.8,79.6,-4.2,-4.9,0.29,0.26,0,0.26,0.38,0.29,0.33,89.7,0,89.7
2012,953,32,97,77.5,86,86.9,-7.8,-8.3,2.36,2,0,2,2.58,2.06,2.3,84.7,0,84.7
2011,953,36,112,76.6,93.8,93.6,-5.1,-5.2,4.3,3.9,0,3.9,5.09,3.48,4.17,90.7,0,90.7
2010,953,43,99.1,71,98.9,81.3,16.5,20,4.11,3.8,0,3.8,5.35,3.83,4.67,92.5,0,92.5
2009,953,43,87.9,55,82.4,75.7,14.6,21.5,1.64,1.2,0.3,1.5,2.73,1.71,1.98,73.2,18.3,91.5
2008,925,34,105,63.9,67.8,81.1,-29.2,-30.1,7.53,6.7,0,6.7,10.5,6.38,8.26,89,0,89
2007,925,51,108,65.7,97,83.8,25.4,35.5,4.81,4.4,0,4.4,6.7,4.07,5.25,91.5,0,91.5
2006,925,49,72,55.6,71.6,61,13.4,23,6.4,4.7,0.3,5,8.99,6.94,8.19,73.4,4.69,78.1
2005,897,53,67.5,55,58.2,61.9,0.7,1.2,6.05,3.61,0.6,4.21,7.65,6.23,6.8,59.6,9.94,69.6
2004,837,-,60,49.8,57.5,54.7,7,13.9,2.42,1.8,0.6,2.4,4.82,4,4.39,74.4,24.8,99.2
2003,784,-,51.5,46,50.5,49.3,4.5,9.8,1.63,1.2,1.2,2.4,5.22,4.66,4.87,73.6,73.6,147
2002,700,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
1998,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
1997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
