年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,023",41,47.35,41.1,46.75,44.6,-0.3,-0.6,4.52,2,0,2,4.87,4.22,4.48,44.2,0,44.2
2018,"1,023",38,55,46.1,47.05,50.8,-3.65,-7.2,5.19,2.3,0,2.3,4.99,4.18,4.53,44.3,0,44.3
2017,"1,023",38,53.4,45.7,50.7,48.6,-0.3,-0.6,4.73,2,0,2,4.38,3.75,4.12,42.3,0,42.3
2016,"1,023",34,53.7,34.7,51,41.9,6,13.3,6.21,2,0,2,5.76,3.72,4.77,32.2,0,32.2
2015,"1,023",41,69,44.35,45,55.7,-5.7,-11.2,5.89,3,0,3,6.76,4.35,5.39,50.9,0,50.9
2014,"1,023",38,51.9,38.85,50.7,45.4,7.1,16.3,3.31,1.5,0,1.5,3.86,2.89,3.31,45.3,0,45.3
2013,"1,023",38,44.25,34.85,43.6,40.7,8.5,24.2,3.05,1,0,1,2.87,2.26,2.46,32.8,0,32.8
2012,953,34,36.15,27.6,35.1,31.6,3.05,9.5,3.39,1,0.5,1.5,5.43,4.14,4.74,29.5,14.7,44.2
2011,901,38,48.8,28,32.05,38.5,-7.95,-19.9,2.33,1,0.5,1.5,5.35,3.07,3.89,42.9,21.4,64.3
2010,856,31,41.65,31.2,40,37.8,0.7,1.8,2.47,2,0.5,2.5,8,6,6.61,80.9,20.2,101
2009,813,41,40.45,16.6,39.3,30.3,15.4,64.4,1.41,0,0,0,0,0,0,0,0,0
2008,772,34,37.9,15.95,23.9,28.5,-4.9,-17,1.87,1.5,0,1.5,9.4,3.96,5.27,80.2,0,80.2
2007,772,38,34.75,26.15,28.8,29.5,-1.7,-5.6,1.09,1,0,1,3.82,2.88,3.39,91.7,0,91.7
2006,772,34,33,24.25,30.5,28,2.3,8.2,1.39,1.15,0,1.15,4.74,3.48,4.11,82.7,0,82.7
2005,772,33,32.9,26.35,28.2,30,-4.3,-13.2,2.02,1.7,0,1.7,6.45,5.17,5.66,84.2,0,84.2
2004,811,41,38.7,26.2,32.5,32,0,0,1.91,1.6,0,1.6,6.09,4.12,4.99,83.5,0,83.5
2003,825,52,36.5,23.2,32.5,29.2,4.9,17.8,1.25,1.2,0,1.2,5.16,3.28,4.1,95.8,0,95.8
2002,829,48,37.8,26.5,27.6,32,-2.8,-9.2,0.1,1,0,1,3.77,2.65,3.13,1000,0,1000
2001,546,41,39.5,19.9,30.4,28.5,10.1,49.8,-,-,-,-,-,-,-,-,-,-
2000,-,-,39.5,16.7,20.3,25.7,-5.5,-21.3,-,-,-,-,-,-,-,-,-,-
1999,-,-,42.2,23.9,25.8,31.2,-8.99,-25.8,-,-,-,-,-,-,-,-,-,-
1998,-,-,74,32.5,34.79,52.4,-34.21,-49.6,-,-,-,-,-,-,-,-,-,-
1997,-,-,91,60,69,73.5,-4,-5.5,-,-,-,-,-,-,-,-,-,-
1996,-,-,112,65,73,79.4,-7,-8.8,-,-,-,-,-,-,-,-,-,-
1995,-,-,152,70,80,96.2,-71,-47,-,-,-,-,-,-,-,-,-,-
1994,-,-,253,135.5,151,189,-92,-37.9,-,-,-,-,-,-,-,-,-,-
1993,-,-,243,96,243,136,147,153,-,-,-,-,-,-,-,-,-,-
