年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,637,60,115.5,90,99.9,102,-1.1,-1.1,7.78,5.8,0,5.8,6.44,5.02,5.68,74.6,0,74.6
2018,637,57,119.5,95.5,101,106,2.3,2.3,7.76,5.7,0,5.7,5.97,4.77,5.39,73.5,0,73.5
2017,637,57,98.8,86.5,98.7,92,9.5,10.7,6.19,4.6,0,4.6,5.32,4.66,5,74.3,0,74.3
2016,637,51,92.5,70.1,89.2,80.2,12.2,15.8,4.85,3.6,0,3.6,5.14,3.89,4.49,74.2,0,74.2
2015,637,49,81.7,59.5,77,73.9,4.7,6.5,2.83,1.7,0,1.7,2.86,2.08,2.3,60.1,0,60.1
2014,637,40,80.6,65,72.3,74.9,-8.2,-10.2,3.25,1.9,0,1.9,2.92,2.36,2.54,58.5,0,58.5
2013,637,43,82.1,67.3,80.5,75.1,1.9,2.4,2.4,1.2,0.4,1.6,2.38,1.95,2.13,50,16.7,66.7
2012,612,38,93.9,67.4,78.6,81.4,-2.2,-2.7,5.84,4,0,4,5.93,4.26,4.92,68.5,0,68.5
2011,612,53,117,76,80.8,96,-16.7,-17.1,7.44,6.8,0,6.8,8.95,5.81,7.08,91.4,0,91.4
2010,612,60,97.9,61.8,97.5,74.5,30.2,44.9,4.5,4,0,4,6.47,4.09,5.37,88.9,0,88.9
2009,612,49,67.9,43.15,67.3,58.7,23.7,54.4,3.45,1.8,0.7,2.5,5.79,3.68,4.26,52.2,20.3,72.5
2008,572,43,105.5,41.4,43.6,71.3,-47.5,-52.1,8.36,6.7,0,6.7,16.2,6.35,9.4,80.1,0,80.1
2007,572,55,102,52.1,91.1,75.8,37,68.4,5.4,4.4,0,4.4,8.45,4.31,5.8,81.5,0,81.5
2006,572,51,54.9,43.95,54.1,49.1,3.6,7.1,5.98,4.1,0.3,4.4,10,8.01,8.96,68.6,5.02,73.6
2005,555,60,61.3,47.35,50.5,52.3,-4,-7.3,7.13,3.6,0.9,4.5,9.5,7.34,8.6,50.5,12.6,63.1
2004,510,64,58.5,42.4,54.5,51.4,-1.5,-2.7,3.45,1.8,0.6,2.4,5.66,4.1,4.67,52.2,17.4,69.6
2003,481,47,57,39.6,56,48.1,10.4,22.8,2.18,1.2,0.6,1.8,4.55,3.16,3.74,55,27.5,82.6
2002,453,45,49.5,29.9,45.6,41.3,13.5,42.1,1.58,0.7,0.7,1.4,4.68,2.83,3.39,44.3,44.3,88.6
2001,424,38,51.5,26.3,32.1,37.3,-14.2,-30.7,3.35,1,1,2,7.6,3.88,5.36,29.9,29.9,59.7
2000,385,47,76,43.2,46.3,58.8,-16.2,-25.9,2.28,0.9,0.9,1.8,4.17,2.37,3.06,39.5,39.5,78.9
1999,353,45,72,41,62.5,57.2,15.7,33.5,2.13,0.7,0.7,1.4,3.41,1.94,2.45,32.9,32.9,65.7
1998,283,47,72.5,34.2,46.8,53.1,-16.7,-26.3,2.03,0,1.4,1.4,4.09,1.93,2.64,0,69,69
1997,248,45,78,48,63.5,64.9,-5.5,-8,2.68,0.9,0.9,1.8,3.75,2.31,2.77,33.6,33.6,67.2
1996,228,51,75,37.6,69,53.2,28.1,68.7,2.64,1.1,1,2.1,5.59,2.8,3.94,41.7,37.9,79.5
1995,207,53,57,37.9,40.9,46.7,-15.6,-27.6,2.95,1.1,1.1,2.2,5.8,3.86,4.71,37.3,37.3,74.6
1994,187,-,70,46,56.5,56.9,-1,-1.7,2.24,0.9,0.8,1.7,3.7,2.43,2.99,40.1,35.6,75.7
1993,173,-,57.5,31.5,57.5,40.1,24.8,75.8,2.44,1,0.9,1.9,6.03,3.3,4.74,41.1,37,78
1992,158,-,50,32,32.7,39.2,-10.3,-24,2.49,1.1,1,2.1,6.56,4.2,5.36,44.2,40.2,84.4
1991,144,-,68,31,43,48.5,3.8,9.7,2.79,1.1,1.1,2.2,7.1,3.24,4.53,39.4,39.4,78.7
1990,130,-,-,-,-,-,-,-,-,1,1.1,2.1,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,1,2,3,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,1,1.8,2.8,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,0.9,1.8,2.7,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,1.2,1.2,2.4,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,1.3,1.5,2.8,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,1,1.4,2.4,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
