年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,347,57,123,106,112.5,113,6,5.6,5.01,5.55,0,5.55,5.23,4.51,4.91,111,0,111
2018,342,53,112,104.5,106.5,108,-1,-0.9,5.21,5.6,0,5.6,5.36,5,5.17,107,0,107
2017,342,53,116.5,102,107.5,109,3.5,3.4,5.63,5.6,0,5.6,5.49,4.81,5.13,99.5,0,99.5
2016,342,57,116.5,96.4,104,108,4,4,5.76,5.6,0,5.6,5.81,4.81,5.19,97.2,0,97.2
2015,342,57,113,95,100,104,-4.5,-4.3,5.56,5.6,0,5.6,5.89,4.96,5.39,101,0,101
2014,342,57,104.5,85,104.5,94.8,8.2,8.5,5.79,5.6,0,5.6,6.59,5.36,5.91,96.7,0,96.7
2013,342,57,121.5,87.2,96.3,104,-10.7,-10,5.46,5.5,0,5.5,6.31,4.53,5.26,101,0,101
2012,342,64,115.5,86.3,107,98.3,12.6,13.3,4.7,5.16,0,5.16,5.98,4.47,5.25,110,0,110
2011,342,68,98.3,65.2,94.4,78.2,24.7,35.4,4.62,4.16,0,4.16,6.38,4.23,5.32,90.1,0,90.1
2010,380,70,70,58.5,69.7,63.2,7.3,11.7,4.66,5.03,0,5.03,8.59,7.18,7.95,108,0,108
2009,380,70,62.5,44.25,62.4,53.4,13.7,28.1,5.18,4.69,0,4.69,10.6,7.5,8.77,90.5,0,90.5
2008,380,74,60.5,40.05,48.7,52.5,5.2,12,1.68,2.54,0,2.54,6.35,4.2,4.84,151,0,151
2007,380,60,45.8,31.65,43.5,38.2,9.7,28.7,3.28,2.59,0,2.59,8.18,5.65,6.77,78.9,0,78.9
2006,500,77,33.85,28,33.8,31.1,5.1,17.8,3.31,2.62,0,2.62,9.35,7.73,8.41,79.1,0,79.1
2005,495,79,36,26.2,28.7,31.1,-6.8,-19.2,3.55,2.47,0,2.47,9.44,6.87,7.95,69.7,0,69.7
2004,489,77,35.6,28,35.5,32.5,6,20.3,2.91,2.38,0,2.38,8.48,6.67,7.3,81.6,0,81.6
2003,470,64,32.2,22.4,29.5,26.5,0.5,1.7,3.33,2,0.4,2.4,10.7,7.45,9.05,60.1,12,72.1
2002,450,66,47.3,26.2,29,38.3,-17.8,-38,4.56,1.9,1.9,3.8,14.5,8.03,9.92,41.7,41.7,83.3
2001,377,72,60,32.5,46.8,43.9,-3.7,-7.3,5.13,0,3.2,3.2,9.85,5.34,7.29,0,62.4,62.4
2000,276,-,90,47.1,50.5,64.2,-38.5,-43.3,3.22,0,3.8,3.8,8.07,4.22,5.92,0,118,118
1999,200,-,-,-,-,-,-,-,4.54,1.8,0,1.8,-,-,-,39.6,0,39.6
1998,150,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
1997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
