年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,13.4,94,5200,2880,5060,4199,1845,57.4,181.67,68,0,68,2.36,1.31,1.62,37.4,0,37.4
2018,13.4,94,5330,2875,3215,3940,-805,-20,193.65,72.5,0,72.5,2.52,1.36,1.84,37.4,0,37.4
2017,13.4,89,6075,3780,4020,5028,230,6.1,169.47,63.5,0,63.5,1.68,1.05,1.26,37.5,0,37.5
2016,13.4,91,3980,1790,3790,3066,1520,67,180.08,63.5,0,63.5,3.55,1.6,2.07,35.3,0,35.3
2015,13.4,91,3715,2045,2270,2839,-125,-5.2,144.91,51,0,51,2.49,1.37,1.8,35.2,0,35.2
2014,13.4,89,2640,1105,2395,1978,1180,97.1,71.64,28.5,0,28.5,2.58,1.08,1.44,39.8,0,39.8
2013,13.4,91,1250,681,1215,932,437,56.2,41.58,17,0,17,2.5,1.36,1.82,40.9,0,40.9
2012,13.4,81,899,451,778,623,212,37.5,38.76,17,0,17,3.77,1.89,2.73,43.9,0,43.9
2011,13.4,87,1005,466,566,785,-159,-21.9,30.15,13.5,0,13.5,2.9,1.34,1.72,44.8,0,44.8
2010,13.4,89,765,388,725,546,304,72.2,18.62,10,0,10,2.58,1.31,1.83,53.7,0,53.7
2009,13.4,85,465.5,194.5,421,343,217.5,107,24.92,10,0.2,10.2,5.24,2.19,2.97,40.1,0.8,40.9
2008,13,94,470,167,203.5,345,-226.5,-52.7,20.44,9.8,0.2,10,5.99,2.13,2.9,47.9,0.98,48.9
2007,12.6,96,645,260,430,422,-200,-31.7,32.06,11.4,0.2,11.6,4.46,1.8,2.75,35.6,0.62,36.2
2006,12.1,89,766,482,630,635,112,21.6,14.93,7,0.5,7.5,1.56,0.98,1.18,46.9,3.35,50.2
2005,11.5,85,551,128,518,254,341,193,10.48,4.5,0.5,5,3.91,0.91,1.97,42.9,4.77,47.7
2004,10.7,91,469,168,177,295,-153,-46.4,14.08,6,1,7,4.17,1.49,2.37,42.6,7.1,49.7
2003,9.59,94,413,171,330,262,136,70.1,10.18,5,1,6,3.51,1.45,2.29,49.1,9.82,58.9
2002,8.55,91,324,152,194,231,-25,-11.4,10.03,3,3,6,3.95,1.85,2.6,29.9,29.9,59.8
2001,6.22,91,-,-,-,-,-,-,14.39,0,7,7,-,-,-,0,48.6,48.6
2000,3,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
