年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,586,53,113.5,85,88,98.5,-17,-16.2,8.36,6.2,0,6.2,7.29,5.46,6.29,74.2,0,74.2
2018,586,51,130,99.6,105,113,2,1.9,9.33,7,0,7,7.03,5.38,6.21,75,0,75
2017,586,55,105.5,88.1,103,93.8,6.7,7,7.5,5.6,0,5.6,6.36,5.31,5.97,74.7,0,74.7
2016,586,51,100,66.7,96.3,83.5,22.3,30.1,4.72,3.5,0,3.5,5.25,3.5,4.19,74.2,0,74.2
2015,586,49,80.4,59,74,71.8,7.1,10.6,1.8,1.2,0,1.2,2.03,1.49,1.67,66.7,0,66.7
2014,586,40,84,61.8,66.9,72.4,-17.1,-20.4,4.25,2.5,0,2.5,4.05,2.98,3.45,58.8,0,58.8
2013,586,38,86.1,66.2,84,76.5,9,12,1.25,0.65,0.3,0.95,1.44,1.1,1.24,52,24,76
2012,569,36,93.7,58.7,75,78.5,-4.9,-6.1,5.81,4,0,4,6.81,4.27,5.09,68.8,0,68.8
2011,569,45,119,73.8,79.9,95.6,-18.3,-18.6,8.33,7.5,0,7.5,10.2,6.3,7.84,90,0,90
2010,569,55,99.2,66.3,98.2,77.2,28.8,41.5,5.19,4.5,0,4.5,6.79,4.54,5.83,86.7,0,86.7
2009,569,51,70.6,33.3,69.4,53.1,29.4,73.5,1.1,0.9,0.3,1.2,3.6,1.7,2.26,81.8,27.3,109
2008,552,36,88,39.5,40,63.4,-43,-51.8,8.63,7,0,7,17.7,7.95,11,81.1,0,81.1
2007,552,53,92.5,53.5,83,73,28.5,52.3,5.88,4.8,0,4.8,8.97,5.19,6.57,81.6,0,81.6
2006,552,53,55.1,43.55,54.5,50.3,1.5,2.8,7.43,5.2,0.3,5.5,12.6,9.98,10.9,70,4.04,74
2005,536,57,67.4,48.75,53,56.7,-7.5,-12.4,8.46,4.5,1,5.5,11.3,8.16,9.7,53.2,11.8,65
2004,488,-,62.5,43,60.5,53.8,3.5,6.1,3.92,2.4,0.8,3.2,7.44,5.12,5.95,61.2,20.4,81.6
2003,451,-,58,30.7,57,42.9,20.2,54.9,2.62,1.6,0.8,2.4,7.82,4.14,5.6,61.1,30.5,91.6
2002,418,-,40.5,23.5,36.8,32.5,13.3,56.6,1.17,0.6,0.6,1.2,5.11,2.96,3.69,51.3,51.3,103
2001,394,-,32.4,17.5,23.5,24.6,-4.3,-15.5,3.54,0.8,0.8,1.6,9.14,4.94,6.51,22.6,22.6,45.2
2000,365,-,53.5,21,27.8,38,-11.8,-29.8,2.74,0.7,0.7,1.4,6.67,2.62,3.69,25.5,25.5,51.1
1999,320,-,42.6,23.2,39.6,33.5,12.5,46.1,2.74,0.4,0.4,0.8,3.45,1.88,2.39,14.6,14.6,29.2
1998,307,-,42,19.1,27.1,29.9,-11.69,-30.1,1.11,0,0.6,0.6,3.14,1.43,2.01,0,54.1,54.1
1997,242,-,46.5,26.5,38.79,38.6,-3.51,-8.3,1.49,0.35,0.35,0.7,2.64,1.51,1.82,23.5,23.5,47
1996,232,-,46.9,21.9,42.3,30.8,18.4,77,1.54,0.65,0.65,1.3,5.94,2.77,4.23,42.2,42.2,84.4
1995,218,-,44.2,21.7,23.9,30.4,-19.4,-44.8,1.85,0.65,0.65,1.3,5.99,2.94,4.28,35.2,35.2,70.4
1994,205,-,47.2,25.1,43.3,35.5,13.2,43.9,1.71,0.6,0.4,1,3.98,2.12,2.81,35,23.3,58.3
1993,197,-,32.5,19.7,30.1,23.4,7.9,35.6,2.1,0.7,0.6,1.3,6.6,4,5.55,33.3,28.5,61.8
1992,186,-,36.7,22,22.2,29,-11.8,-34.7,2.91,1.2,0.8,2,9.09,5.45,6.89,41.2,27.5,68.7
1991,172,-,48.4,24.5,34,36.5,3.5,11.5,2.45,0.9,0.8,1.7,6.94,3.51,4.66,36.7,32.6,69.3
1990,159,-,-,-,-,-,-,-,-,0.8,1,1.8,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,0.85,0.9,1.75,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,1,1.1,2.1,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,0,2.4,2.4,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
