年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,386",38,97.2,67,92.2,78,21.4,30.2,8.03,4,0,4,5.97,4.12,5.13,49.8,0,49.8
2018,"1,386",38,97.4,67.6,70.8,82.7,-24.4,-25.6,8.01,2,0,2,2.96,2.05,2.42,25,0,25
2017,"1,733",38,122.5,83,95.2,103,11,13.1,8.6,4.5,0,4.5,5.42,3.67,4.37,52.3,0,52.3
2016,"1,733",43,90.1,72.5,84.2,81.3,3.4,4.2,9.42,4,1,5,6.9,5.55,6.15,42.5,10.6,53.1
2015,"1,564",45,99.7,77.9,80.8,89.1,-7.1,-8.1,8.85,3.8,0.5,4.3,5.52,4.31,4.83,42.9,5.65,48.6
2014,"1,479",43,113,78.9,87.9,93.3,7.8,9.7,8.16,1.8,1.2,3,3.8,2.65,3.21,22.1,14.7,36.8
2013,"1,313",40,89.9,68.8,80.1,78.5,-8.8,-9.9,8.03,1.5,1,2.5,3.63,2.78,3.19,18.7,12.5,31.1
2012,"1,184",40,117,79,88.9,92.1,6,7.2,7.65,1.5,1,2.5,3.16,2.14,2.72,19.6,13.1,32.7
2011,"1,069",43,126.5,61.5,82.9,92.9,-34.6,-29.4,8.01,1,1,2,3.25,1.58,2.15,12.5,12.5,25
2010,966,43,155.5,106,117.5,127,-34,-22.4,8.84,2,1.2,3.2,3.02,2.06,2.52,22.6,13.6,36.2
2009,858,43,151.5,58.4,151.5,106,87.3,136,7.44,1.1,1.5,2.6,4.45,1.72,2.45,14.8,20.2,34.9
2008,741,38,202,52.6,64.2,141,-137.8,-68.2,12.35,3,1.5,4.5,8.56,2.23,3.19,24.3,12.1,36.4
2007,629,47,300,169,202,239,-30.5,-13.1,11.59,3,2,5,2.96,1.67,2.09,25.9,17.3,43.1
2006,517,43,243,176.5,232.5,208,52.5,29.2,10.21,3,2,5,2.83,2.06,2.4,29.4,19.6,49
2005,404,47,187.5,134,180,156,33,22.4,9.21,2.45,1.96,4.4,3.29,2.35,2.82,26.6,21.3,47.8
2004,323,45,157,107.5,147,132,13.5,10.1,9.06,2,1.5,3.5,3.26,2.23,2.66,22.1,16.6,38.6
2003,252,47,168,97.5,133.5,131,13.5,11.2,8.18,1.5,2,3.5,3.59,2.08,2.67,18.3,24.4,42.8
2002,206,43,192,100.5,120,145,-40,-25,7.4,1.5,1.5,3,2.99,1.56,2.07,20.3,20.3,40.5
2001,177,45,219,93,160,168,-5,-3,7.11,1.5,2,3.5,3.76,1.6,2.08,21.1,28.1,49.2
2000,145,53,381,146.5,165,246,-69,-29.5,7.06,1,3,4,2.73,1.05,1.63,14.2,42.5,56.7
1999,110,60,316,150,234,202,56,31.5,7.6,0,4,4,2.67,1.27,1.98,0,52.6,52.6
1998,73.5,55,250,127,178,183,13,7.9,7.16,0,4,4,3.15,1.6,2.19,0,55.9,55.9
1997,51.2,60,345,70,165,179,83.5,102,5.3,0,4,4,5.71,1.16,2.24,0,75.5,75.5
1996,35.8,60,98,45.8,81.5,68.8,8,10.9,6.38,0,5,5,10.9,5.1,7.27,0,78.4,78.4
1995,22.8,53,123,60,73.5,94.1,-41,-35.8,4.81,0,4,4,6.67,3.25,4.25,0,83.1,83.1
1994,13,-,124,50.5,114.5,82.4,40.5,54.7,2.24,0.8,1.4,2.2,4.36,1.77,2.67,35.7,62.4,98.1
1993,11.3,-,74,39,74,48.6,26.8,56.8,2.08,0.6,1.4,2,5.13,2.7,4.11,28.8,67.2,96
1992,9.76,-,75,37.5,47.2,58.7,-13.3,-22,2.51,0,2,2,5.33,2.67,3.41,0,79.6,79.6
1991,8.03,-,95.5,44.9,60.5,65,15.6,34.7,2.06,0,1.5,1.5,3.34,1.57,2.31,0,72.7,72.7
1990,6.2,-,-,-,-,-,-,-,-,0,3.04,3.04,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,0,2.78,2.78,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
