年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,776,70,114,106,110,110,-3,-2.7,4.58,4.48,0,4.48,4.23,3.93,4.06,97.8,0,97.8
2018,776,68,115,104.5,113,109,7,6.6,5.01,4.8,0,4.8,4.59,4.17,4.4,95.7,0,95.7
2017,776,70,111,99.5,106,104,4.5,4.4,5.16,4.94,0,4.94,4.97,4.45,4.74,95.8,0,95.8
2016,776,70,125.5,97.9,101.5,110,2.4,2.4,5.52,5.49,0,5.49,5.6,4.37,5,99.4,0,99.4
2015,776,70,101,92.1,99.1,97.8,5.1,5.4,4.98,4.86,0,4.86,5.27,4.81,4.97,97.5,0,97.5
2014,776,68,96.9,89.8,94,93,0.9,1,5.12,4.53,0,4.53,5.04,4.67,4.86,88.4,0,88.4
2013,776,68,102,90,93.1,94.1,-1.4,-1.5,5.14,5.35,0,5.35,5.94,5.25,5.68,104,0,104
2012,776,70,101,87.5,94.5,92.2,-5.5,-5.5,6.04,5.46,0,5.46,6.24,5.41,5.92,90.4,0,90.4
2011,776,79,111,72.7,100,96.2,25.9,35,4.91,5.52,0,5.52,7.6,4.98,5.74,113,0,113
2010,776,81,79,57.9,74.1,66.1,14.6,24.5,4.51,4.06,0,4.06,7.01,5.14,6.15,90,0,90
2009,970,79,68.2,50,59.5,58.7,6,11.2,4.64,3.83,1,4.83,9.66,7.08,8.23,82.5,21.6,104
2008,970,79,83.2,45.6,53.5,70.1,-11.4,-17.6,4.56,4.26,2.1,6.36,13.9,7.64,9.07,93.4,46.1,139
2007,967,83,67.6,50.7,59.9,61.3,-0.7,-1.2,4.63,3.58,1,4.58,9.03,6.78,7.48,77.3,21.6,98.9
2006,967,81,62.3,53.5,60.6,58.3,3.8,6.7,4.94,4.3,0.2,4.5,8.41,7.22,7.72,87,4.05,91.1
2005,965,-,66.1,55,56.8,61,-5.7,-9.1,5.17,4.7,0,4.7,8.55,7.11,7.7,90.9,0,90.9
2004,965,-,64,49.4,62.5,56.4,13.2,26.8,5.03,4.5,0,4.5,9.11,7.03,7.98,89.5,0,89.5
2003,965,-,59.5,45.8,49.3,50.8,-2.2,-4.3,4.48,4,0,4,8.73,6.72,7.87,89.3,0,89.3
2002,965,-,55.5,42.8,51.5,49.5,-0.5,-1,3.86,3.5,0,3.5,8.18,6.31,7.07,90.7,0,90.7
2001,965,-,85.5,38.5,52,56.5,-23,-30.7,6.51,5.8,0,5.8,15.1,6.78,10.3,89.1,0,89.1
2000,965,-,100.5,74,75,88.2,-25.5,-25.4,5.36,4.76,0,4.76,6.43,4.74,5.4,88.8,0,88.8
1999,965,-,-,-,-,-,-,-,5.65,4.99,0,4.99,-,-,-,88.3,0,88.3
1998,965,-,-,-,-,-,-,-,-,4.06,0,4.06,-,-,-,-,-,-
1997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
