年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,568,57,83.8,67,73.5,75.7,3.7,5.3,3.07,2.5,0,2.5,3.73,2.98,3.3,81.4,0,81.4
2018,568,53,83.8,64.6,69.8,72.9,3.8,5.8,7.01,5.5,0,5.5,8.51,6.56,7.55,78.5,0,78.5
2017,568,60,66.9,52.4,66,59.8,12.6,23.6,2.56,2.1,0,2.1,4.01,3.14,3.51,82,0,82
2016,568,51,67.4,50.3,53.4,58.8,-1.5,-2.7,2.48,2,0,2,3.98,2.97,3.4,80.6,0,80.6
2015,568,51,60,48,54.9,53.9,4.7,9.4,2.04,1.4,0.4,1.8,3.75,3,3.34,68.6,19.6,88.2
2014,546,49,58.6,46.7,50.2,51.8,-3.5,-6.5,2.48,1.5,0.6,2.1,4.5,3.58,4.06,60.5,24.2,84.7
2013,515,51,68.3,49.6,53.7,56.4,0.4,0.8,2.55,1.4,0.6,2,4.03,2.93,3.54,54.9,23.5,78.4
2012,486,47,55,40,53.3,47.7,9.05,20.5,2.08,1,0.7,1.7,4.25,3.09,3.57,48.1,33.7,81.7
2011,454,45,49.3,36,44.25,41.2,1,2.3,2.55,1.4,0.6,2,5.56,4.06,4.86,54.9,23.5,78.4
2010,429,47,43.9,31.9,43.25,37.6,3.8,9.6,2.02,0.8,1,1.8,5.64,4.1,4.79,39.6,49.5,89.1
2009,390,47,40.4,23.95,39.45,33.7,10.55,36.5,0.96,0.44,0.44,0.88,3.67,2.18,2.61,45.8,45.8,91.7
2008,373,43,49.9,23.5,28.9,37.5,-15,-34.2,3.1,2,0.5,2.5,10.6,5.01,6.67,64.5,16.1,80.6
2007,356,49,53.4,26.9,43.9,36.1,11.4,35.1,1.08,0.6,0.6,1.2,4.46,2.25,3.32,55.6,55.6,111
2006,335,43,33.7,14.5,32.5,25,16.9,108,0.62,0.65,0,0.65,4.48,1.93,2.6,105,0,105
2005,335,40,16.8,11.85,15.6,14.4,-1,-6,0.77,0.36,0,0.36,3.04,2.14,2.51,46.8,0,46.8
2004,338,38,22.2,13.1,16.6,16.1,2.65,19,0.86,0.6,0,0.6,4.58,2.7,3.72,69.8,0,69.8
2003,340,38,15.7,9.15,13.95,11.9,3.15,29.2,0.45,0.35,0,0.35,3.83,2.23,2.95,77.8,0,77.8
2002,344,38,14.65,9.8,10.8,12.1,-1.95,-15.3,0.9,0.6,0.3,0.9,9.18,6.14,7.45,66.7,33.3,100
2001,335,38,22.5,9.15,12.75,14.9,-9.25,-42,1.07,0.6,0.6,1.2,13.1,5.33,8.04,56.1,56.1,112
2000,316,38,34,18.5,22,23.8,-2.8,-11.3,1.21,0.8,0.8,1.6,8.65,4.71,6.73,66.1,66.1,132
1999,292,40,32.5,19.7,24.8,24.4,-3.8,-13.3,1.63,1,1,2,10.2,6.15,8.19,61.3,61.3,123
1998,266,47,40.2,22,28.6,31.2,-10.3,-26.5,3.58,0,2,2,9.09,4.98,6.4,0,55.9,55.9
1997,222,51,59,35,38.9,46.3,-3.9,-9.1,1.76,0,2,2,5.71,3.39,4.32,0,114,114
1996,185,49,51,29.7,42.8,39.4,9.9,30.1,1.77,0,2,2,6.73,3.92,5.07,0,113,113
1995,154,49,60.5,28.8,32.9,40.6,-25.1,-43.3,5.87,0,3,3,10.4,4.96,7.39,0,51.1,51.1
1994,118,-,66,36,58,46.1,6.5,12.6,2.75,0,2,2,5.56,3.03,4.34,0,72.7,72.7
1993,98.6,-,52.5,30,51.5,40.2,9.5,22.6,2.56,0,2,2,6.67,3.81,4.98,0,78,78
1992,82.2,-,57,38.4,42,48.3,-3.8,-8.3,2.85,0,2,2,5.21,3.51,4.14,0,70.3,70.3
1991,64.3,-,49.3,28.5,45.8,42.4,10.3,29,1.96,0,1.7,1.7,5.96,3.45,4.01,0,86.6,86.6
1990,55,-,-,-,-,-,-,-,-,0,3.2,3.2,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,0.8,1.96,2.76,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,1.1,2,3.1,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,0,1.7,1.7,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,0,1.2,1.2,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,0,1.6,1.6,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,0,2.25,2.25,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
