年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,307,74,86.7,49.5,85.5,67,30.5,55.5,12.8,7.11,0,7.11,14.4,8.2,10.6,55.6,0,55.6
2018,310,98,107.5,45.1,55,75.4,-21.2,-27.8,14.36,3.51,0,3.51,7.78,3.26,4.66,24.4,0,24.4
2017,296,91,91.2,43.8,76.2,61.7,27.9,57.8,8.67,1.5,0,1.5,3.42,1.64,2.43,17.3,0,17.3
2016,275,77,50.6,35.15,48.3,40.1,2.6,5.7,7.07,2.8,0,2.8,7.97,5.53,6.99,39.6,0,39.6
2015,243,72,89.3,31.15,45.7,55.1,-35.3,-43.6,11.77,2,0,2,6.42,2.24,3.62,17,0,17
2014,241,79,83,3.5,81,26.7,76.99,1920,0.34,0,0,0,0,0,0,0,0,0
2013,"2,396",51,6.58,2.48,4.01,4.27,1.51,60.4,-2.24,0,0,0,0,0,0,0,0,0
2012,"2,396",23,4.49,1.2,2.5,2.34,0.23,10.1,-8.06,0,0,0,0,0,0,0,0,0
2011,"1,486",23,19.3,1.8,2.27,8.98,-13.98,-86,-4.34,0,0,0,0,0,0,0,0,0
2010,403,26,34.3,15.25,16.25,23.5,-16.45,-50.3,-8.67,0,0,0,0,0,0,0,0,0
2009,340,23,32.7,4.12,32.7,12.5,26.66,441,-7.86,0,0,0,0,0,0,0,0,0
2008,469,21,20.65,3.46,6.04,12.8,-12.26,-67,-2.89,0,0,0,0,0,0,0,0,0
2007,469,28,34,16.45,18.3,24.9,-8.6,-32,4.55,3.29,0.3,3.59,21.8,10.6,14.4,72.4,6.58,79
2006,395,66,27.2,17.4,26.9,21.7,6.9,34.5,0.61,0.2,0.2,0.4,2.28,1.46,1.84,32.6,32.6,65.2
2005,383,43,26.4,15.15,20,21.6,-5.9,-22.8,1.98,0.5,0.5,1,6.58,3.78,4.62,25.2,25.2,50.4
2004,359,53,31.8,20.2,25.9,25.1,4.6,21.6,-0.44,0,0,0,0,0,0,0,0,0
2003,355,32,30.6,18.4,21.3,23,0.6,2.9,0.85,0,0.3,0.3,1.63,0.98,1.3,0,35.3,35.3
2002,310,45,55.5,19.5,20.7,33.6,-15.8,-43.3,-3.93,0,0,0,0,0,0,0,0,0
2001,275,19,40,7.9,36.5,21.5,17.8,95.2,0.68,0,0,0,0,0,0,0,0,0
2000,225,40,77.5,18.4,18.7,37.9,-47.3,-71.7,0.74,0,0,0,0,0,0,0,0,0
1999,225,49,-,-,-,-,-,-,-1.66,0,0,0,-,-,-,0,0,0
1998,150,28,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
1997,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
1996,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
