年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,295",50,21.25,17.5,20.85,20.1,3.2,18.1,1.24,0.75,0.3,1.05,6,4.94,5.23,60.5,24.2,84.7
2018,"1,257",47,19,16.15,17.65,17.7,1.05,6.3,1.17,0.75,0.3,1.05,6.5,5.53,5.94,64.1,25.6,89.7
2017,"1,220",47,16.9,14,16.6,15.7,2.55,18.1,1.16,0.75,0.3,1.05,7.5,6.21,6.69,64.7,25.9,90.5
2016,"1,185",44,15.15,12.7,14.05,14.1,0.3,2.2,1.22,0.3,0.7,1,7.87,6.6,7.11,24.6,57.4,82
2015,"1,107",50,16.8,12.55,13.75,15.3,-2.55,-15.6,1.13,0.5,0.5,1,7.97,5.95,6.56,44.2,44.2,88.5
2014,904,44,18.15,15.8,16.3,16.5,0,0,1,0.5,0.5,1,6.33,5.51,6.06,50,50,100
2013,861,44,17.6,15.5,16.3,16.6,-0.05,-0.3,1.07,0.4,0.6,1,6.45,5.68,6.02,37.4,56.1,93.5
2012,813,41,19.45,15,16.35,17.2,-1.85,-10.2,0.04,0.5,0.5,1,6.67,5.14,5.81,1250,1250,2500
2011,660,38,19.35,16.8,18.2,18.1,-0.25,-1.4,-,-,-,-,-,-,-,-,-,-
