年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,793,45,79.9,66,72.9,73.8,-2.6,-3.4,6.65,5,0,5,7.58,6.26,6.78,75.2,0,75.2
2018,793,49,88.4,72,75.5,81.3,-2.4,-3.1,6.87,5.1,0,5.1,7.08,5.77,6.27,74.2,0,74.2
2017,793,49,80.2,69.2,77.9,74,6.7,9.4,6.16,4.5,0,4.5,6.5,5.61,6.08,73.1,0,73.1
2016,793,53,74.5,54.9,71.2,63.1,10.2,16.7,4.5,3.3,0,3.3,6.01,4.43,5.23,73.3,0,73.3
2015,793,51,79.5,49.85,61,65.7,-4.5,-6.9,4.01,2.3,0,2.3,4.61,2.89,3.5,57.4,0,57.4
2014,793,49,75,58.6,65.5,66.3,-3.4,-4.9,3.19,1.9,0,1.9,3.24,2.53,2.87,59.6,0,59.6
2013,793,40,70,51,68.9,61,12.9,23,0.54,0.3,0.1,0.4,0.78,0.57,0.66,55.6,18.5,74.1
2012,785,38,72.8,46,56,58.2,-4.1,-6.8,2.95,2.1,0,2.1,4.57,2.88,3.61,71.2,0,71.2
2011,785,45,89,54,60.1,74,-12.6,-17.3,5.22,4.7,0,4.7,8.7,5.28,6.35,90,0,90
2010,785,55,74.5,49.6,72.7,63.1,14.4,24.7,2.09,1.9,0,1.9,3.83,2.55,3.01,90.9,0,90.9
2009,785,43,58.4,31,58.3,45.6,23,65.2,1.23,0.8,0.3,1.1,3.55,1.88,2.41,65,24.4,89.4
2008,762,43,91.8,34.15,35.3,59.7,-50.7,-59,7.75,6.7,0,6.7,19.6,7.3,11.2,86.5,0,86.5
2007,762,57,99,52.7,86,72,31.7,58.4,6.23,5,0,5,9.49,5.05,6.94,80.3,0,80.3
2006,762,57,54.3,42.3,54.3,47.3,9.1,20.1,5.4,3.7,0.3,4,9.46,7.37,8.45,68.5,5.56,74.1
2005,740,53,50.5,36.7,45.2,43.2,-3.4,-7,6.23,3.6,0.6,4.2,11.4,8.32,9.73,57.8,9.63,67.4
2004,698,51,51.5,39.7,48.6,46.5,-0.4,-0.8,2.61,1.8,0.6,2.4,6.05,4.66,5.16,69,23,92
2003,659,45,49.8,29.5,49,39.3,19,63.3,2.22,1.2,0.6,1.8,6.1,3.61,4.58,54.1,27,81.1
2002,621,36,39.6,24.5,30,31.8,3.2,11.9,1.35,0.7,0.7,1.4,5.71,3.54,4.41,51.9,51.9,104
2001,581,32,45.6,18.1,26.8,30.7,-10.4,-28,4.02,1.1,1.1,2.2,12.2,4.82,7.16,27.4,27.4,54.7
2000,523,45,79.5,34.7,37.2,58.7,-31.8,-46.1,2.64,1,1,2,5.76,2.52,3.41,37.9,37.9,75.8
1999,476,38,70.5,38.5,69,50.8,27.5,66.3,3.01,0.6,1.1,1.7,4.42,2.41,3.35,19.9,36.5,56.5
1998,364,36,67,29.1,41.5,48.1,-15,-26.5,2.24,0,1.7,1.7,5.84,2.54,3.53,0,75.9,75.9
1997,311,38,89,49.1,56.5,67.5,-9,-13.7,2.86,1.1,1.1,2.2,4.48,2.47,3.26,38.5,38.5,76.9
1996,272,40,72,38,65.5,49.9,24.1,58.2,3.29,1.15,1.15,2.3,6.05,3.19,4.61,35,35,69.9
1995,244,43,65,38.5,41.4,48.8,-22.6,-35.3,3.19,1.15,1.15,2.3,5.97,3.54,4.71,36,36,72
1994,219,-,74,50.5,64,58.8,-3,-4.5,2.98,1.05,1.05,2.1,4.16,2.84,3.57,35.2,35.2,70.5
1993,198,-,67,34.5,67,41.1,31.21,87.2,2.81,1.1,1.1,2.2,6.38,3.28,5.35,39.2,39.2,78.4
1992,178,-,51,34.79,35.79,41.4,-8.81,-19.8,3.17,1.1,1.2,2.3,6.61,4.51,5.55,34.7,37.9,72.6
1991,159,-,66.5,29.5,44.6,48.6,6,15.5,2.88,1.1,1.2,2.3,7.8,3.46,4.73,38.2,41.7,79.9
1990,142,-,-,-,-,-,-,-,-,1,1.3,2.3,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,1,1.8,2.8,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,1,1.8,2.8,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,0.9,1.7,2.6,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,1.2,1.2,2.4,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,1.3,1.5,2.8,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,1,1.6,2.6,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
