年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,950",41,22.5,19.7,22.4,20.9,2.2,10.9,1.85,1,0,1,5.08,4.44,4.78,54.1,0,54.1
2018,"1,950",44,23,19.6,20.2,21.3,-0.3,-1.5,1.91,1.08,0,1.08,5.51,4.7,5.08,56.5,0,56.5
2017,"1,950",34,20.75,17.5,20.5,19.2,2.85,16.1,1.43,1,0,1,5.71,4.82,5.2,69.9,0,69.9
2016,"1,950",31,19.7,14.5,17.65,17,0.75,4.4,2.1,0.81,0.8,1.61,11.1,8.17,9.45,38.6,38.1,76.7
2015,"1,805",41,24.8,16.05,16.9,20.4,-3.65,-17.8,2.58,0.81,0.81,1.62,10.1,6.53,7.93,31.4,31.4,62.8
2014,"1,526",44,22.15,17.95,20.55,20.1,0.2,1,1.5,0.38,0.37,0.75,4.18,3.39,3.72,25.3,24.7,50
2013,"1,471",44,20.35,16.45,20.35,18.6,3.2,18.7,1.65,0.71,0.7,1.41,8.57,6.93,7.57,43,42.4,85.5
2012,"1,242",44,20.85,15.45,17.15,17.8,-1.75,-9.3,1.61,0.4,0.88,1.28,8.28,6.14,7.19,24.8,54.7,79.5
2011,"1,070",47,27.1,16.1,18.9,22.4,-2.5,-11.7,1.32,0.73,0.72,1.45,9,5.35,6.49,55.3,54.5,110
2010,998,44,21.8,15.15,21.4,18.7,1.45,7.3,0.15,0.64,0.64,1.28,8.45,5.87,6.85,427,427,853
2009,938,34,23.4,9.6,19.95,17.7,6.05,43.5,1.51,0.18,0.32,0.5,5.18,2.13,2.81,11.9,21,33
2008,910,41,32.7,7.9,13.9,22.2,-9.15,-39.7,1.49,0.2,0.8,1,12.7,3.07,4.53,13.4,54,67.4
2007,841,44,28.5,21.2,23.05,25.1,-4.2,-15.4,-1.46,0,0,0,0,0,0,0,0,0
2006,799,25,29.3,21.35,27.25,25.4,1.25,4.8,2.2,0.5,1.2,1.7,7.96,5.8,6.69,22.7,54.5,77.3
2005,709,50,38.2,25.1,26,32.5,-11.9,-31.4,2.6,1,1.91,2.9,11.6,7.6,8.95,38.4,73.3,112
2004,578,50,42,31.5,37.9,37.1,3.8,11.1,1.42,1.1,0.6,1.7,5.38,4.04,4.57,77.4,42,119
2003,550,43,36.9,26,34.1,29.6,5.8,20.5,1.36,1,1.1,2.1,8.08,5.69,7.09,73.5,80.9,154
2002,461,50,33,20.9,28.3,27.5,7.3,34.8,-,-,-,-,-,-,-,-,-,-
2001,-,-,28.5,15.9,21,22.2,0.4,1.9,-,-,-,-,-,-,-,-,-,-
2000,-,-,40.9,15.2,20.6,27,-15.9,-43.6,-,-,-,-,-,-,-,-,-,-
1999,-,-,43,15.3,36.5,28.4,16.3,80.7,-,-,-,-,-,-,-,-,-,-
1998,-,-,44.8,19.6,20.2,31.8,-23.9,-54.2,-,-,-,-,-,-,-,-,-,-
1997,-,-,57.5,37,44.1,47.7,-7.4,-14.4,-,-,-,-,-,-,-,-,-,-
1996,-,-,64,38.6,51.5,49.8,6.8,15.2,-,-,-,-,-,-,-,-,-,-
1995,-,-,67,35.29,44.7,46.6,-22.3,-33.3,-,-,-,-,-,-,-,-,-,-
1994,-,-,90,57,67,67.5,-12,-15.2,-,-,-,-,-,-,-,-,-,-
1993,-,-,79,32.5,79,42.9,35.4,81.2,-,-,-,-,-,-,-,-,-,-
1992,-,-,80.5,42.5,43.6,57.6,-37.9,-46.5,-,-,-,-,-,-,-,-,-,-
1991,-,-,84.5,77,81.5,79.9,-3,-3.6,-,-,-,-,-,-,-,-,-,-
