年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,217",50,22.4,17.35,22.2,20.3,4.7,26.9,1.27,0.55,0.55,1.09,6.28,4.87,5.36,42.9,42.9,85.8
2018,"1,154",47,18.8,16.55,17.5,17.7,0.75,4.5,1.09,0.5,0.45,0.95,5.74,5.05,5.37,45.9,41.3,87.2
2017,"1,105",44,18.4,16.15,16.75,16.9,0.5,3.1,1.34,0.7,0.5,1.2,7.43,6.52,7.1,52.2,37.3,89.6
2016,"1,052",44,17.85,13.9,16.25,16,1,6.6,1.42,0.63,0.62,1.25,8.99,7,7.79,44.4,43.7,88
2015,991,47,19.45,14.4,15.25,17,-2.5,-14.1,1.41,0.62,0.62,1.24,8.61,6.38,7.3,44,44,87.9
2014,933,47,19.6,16.75,17.75,17.8,0.35,2,1.11,0.7,0.3,1,5.97,5.1,5.62,63.1,27,90.1
2013,906,44,17.9,15.95,17.4,17.1,0.6,3.6,1.03,0.5,0.5,1,6.27,5.59,5.86,48.5,48.5,97.1
2012,863,44,17.8,15,16.8,16.4,0.45,2.8,1.22,0.5,0.5,1,6.67,5.62,6.09,41,41,82
2011,821,41,24.8,16,16.35,20.6,-7.95,-32.7,0.92,0.3,0.6,0.9,5.62,3.63,4.37,32.6,65.2,97.8
2010,662,38,24.8,16.9,24.3,19.6,4.15,20.6,0.71,0.2,0.55,0.75,4.44,3.02,3.82,28.2,77.5,106
2009,627,38,24.4,15.25,20.15,19.1,1.75,9.5,1.5,0.7,0.3,1,6.56,4.1,5.24,46.7,20,66.7
2008,609,47,32.35,13.6,18.4,23.6,-2.9,-13.6,1.54,1,0.2,1.2,8.82,3.71,5.08,64.9,13,77.9
2007,597,44,25.5,19.75,21.3,23,-2.85,-11.8,1.33,1,0,1,5.06,3.92,4.34,75.2,0,75.2
2006,597,41,25.85,20.4,24.15,22.4,2.5,11.5,1.6,1.4,0,1.4,6.86,5.42,6.25,87.5,0,87.5
2005,597,52,27.4,19.85,21.65,23.6,-5.45,-20.1,1.93,0.7,0.7,1.4,7.05,5.11,5.93,36.3,36.3,72.5
2004,558,61,33.8,21.5,27.1,27.5,2.3,9.3,2.14,0.2,1.8,2,9.3,5.92,7.28,9.35,84.1,93.5
2003,473,55,28.6,19.5,24.8,23.2,-0.5,-2,-5.99,0,0,0,0,0,0,0,0,0
2002,448,30,29.2,14.85,25.3,21.4,4.8,23.4,1.05,0.2,0.8,1,6.75,3.43,4.69,19.2,76.6,95.8
2001,415,41,31.3,14,20.5,20.5,-0.9,-4.2,-,-,-,-,-,-,-,-,-,-
2000,-,-,51,18.3,21.4,30.4,-18,-45.7,-,-,-,-,-,-,-,-,-,-
1999,-,-,72,38,39.4,51.1,-6.9,-14.9,-,-,-,-,-,-,-,-,-,-
1998,-,-,95.5,45.6,46.3,69.2,-46.2,-49.9,-,-,-,-,-,-,-,-,-,-
1997,-,-,156,86.5,92.5,119,-36,-28,-,-,-,-,-,-,-,-,-,-
1996,-,-,152,79.5,128.5,122,42.5,49.4,-,-,-,-,-,-,-,-,-,-
1995,-,-,215,78.5,86,124,-127,-59.6,-,-,-,-,-,-,-,-,-,-
1994,-,-,271,162,213,200,-3,-1.4,-,-,-,-,-,-,-,-,-,-
1993,-,-,216,75.5,216,133,136,170,-,-,-,-,-,-,-,-,-,-
1992,-,-,225,72.5,80,116,-101,-55.8,-,-,-,-,-,-,-,-,-,-
1991,-,-,321,170,181,223,-110,-37.8,-,-,-,-,-,-,-,-,-,-
